,GMSD,PSNR,SSIM,VIF
0,0.269150476456,17.7733420427,0.853321207529,0.0192088427727
1,0.268242344215,17.8890459653,0.852033068548,0.0238519130232
2,0.26845612411,17.9191297339,0.852886077541,0.0274402798433
3,0.268710895085,17.9197778242,0.853227445488,0.0275323435429
4,0.146950259224,18.4924742391,0.82759143769,0.328966177572
5,0.124313647997,23.0945145255,0.879830568837,0.599063942386
6,0.124312882925,23.0948507488,0.879825668356,0.599069068841
7,0.124088172294,23.1304161077,0.880291455008,0.600451090349
8,0.123442041618,23.2054379121,0.881757315136,0.606393749792
9,0.123442041618,23.2054379121,0.881757315136,0.606393749792
10,0.122580688974,23.2355079137,0.88206088181,0.608113272463
11,0.122580688974,23.2355079137,0.88206088181,0.608113272463
12,0.122580688974,23.2355079137,0.88206088181,0.608113272463
13,0.122580688974,23.2355079137,0.88206088181,0.608113272463
14,0.0783277146789,26.8108363846,0.920388987761,0.797993087762
15,0.0783301417522,26.8109655765,0.920391964103,0.79799255528
16,0.0783281676053,26.8111051611,0.92039533058,0.798000623683
17,0.0783281676053,26.8111051611,0.92039533058,0.798000623683
18,0.0783046738323,26.8112761324,0.920396099605,0.798008729657
19,0.0782984545885,26.8115591717,0.920399732298,0.798046891422
