NumberofColors,#1_lab_G,#2_lab_G,#1_lab_P,#2_lab_P,#1_lab_S,#2_lab_S,#1_lab_V,#2_lab_V
1,0.180,0.180,15.002,15.002,0.737,0.737,0.087,0.087
2,0.181,0.181,15.562,15.562,0.726,0.726,0.113,0.113
3,0.165,0.215,15.879,16.699,0.744,0.727,0.159,0.254
4,0.223,0.224,16.673,17.355,0.724,0.735,0.277,0.322
5,0.137,0.223,19.548,17.430,0.790,0.735,0.541,0.331
6,0.139,0.216,20.042,17.774,0.785,0.750,0.585,0.368
7,0.138,0.216,20.957,18.198,0.800,0.761,0.659,0.397
8,0.137,0.157,20.995,21.731,0.804,0.816,0.661,0.664
9,0.136,0.151,21.015,22.559,0.805,0.830,0.663,0.706
10,0.136,0.151,21.044,22.790,0.805,0.836,0.666,0.727
11,0.136,0.147,21.087,23.424,0.804,0.845,0.669,0.758
12,0.128,0.147,21.860,23.477,0.822,0.848,0.695,0.760
13,0.126,0.080,21.919,25.465,0.825,0.870,0.699,0.836
14,0.113,0.079,22.689,25.772,0.837,0.873,0.739,0.846
15,0.109,0.078,22.834,25.857,0.844,0.874,0.744,0.850
16,0.107,0.080,22.936,25.948,0.852,0.875,0.748,0.853
17,0.084,0.076,24.078,26.108,0.867,0.877,0.795,0.855
18,0.083,0.076,24.140,26.133,0.870,0.877,0.797,0.854
19,0.082,0.075,24.225,26.188,0.874,0.878,0.800,0.856
20,0.082,0.074,24.262,26.319,0.877,0.880,0.801,0.861
