NumberofColors,#1_lab_G,#2_lab_G,#1_lab_P,#2_lab_P,#1_lab_S,#2_lab_S,#1_lab_V,#2_lab_V
1,0.228,0.228,15.010,15.010,0.903,0.903,0.022,0.022
2,0.255,0.134,15.264,19.577,0.877,0.905,0.032,0.625
3,0.182,0.160,18.914,21.495,0.890,0.897,0.456,0.678
4,0.158,0.154,21.372,22.038,0.892,0.901,0.656,0.702
5,0.151,0.121,21.965,24.173,0.896,0.909,0.686,0.810
6,0.150,0.121,23.365,24.273,0.913,0.911,0.773,0.798
7,0.101,0.122,25.247,24.696,0.928,0.906,0.828,0.819
8,0.099,0.123,25.369,25.302,0.925,0.912,0.833,0.842
9,0.101,0.112,25.602,25.936,0.926,0.922,0.841,0.862
10,0.097,0.092,26.514,27.912,0.933,0.934,0.865,0.900
11,0.097,0.089,26.534,28.066,0.934,0.934,0.866,0.904
12,0.090,0.088,26.744,28.157,0.933,0.934,0.873,0.905
13,0.090,0.087,26.751,28.169,0.934,0.935,0.873,0.906
14,0.087,0.086,27.201,28.311,0.938,0.937,0.883,0.909
15,0.085,0.086,27.237,28.340,0.939,0.938,0.883,0.910
16,0.085,0.086,27.239,28.357,0.939,0.938,0.885,0.910
17,0.085,0.085,27.386,28.375,0.936,0.938,0.889,0.911
18,0.085,0.084,27.720,28.659,0.936,0.939,0.896,0.913
19,0.074,0.077,28.253,28.944,0.940,0.939,0.907,0.916
20,0.074,0.076,28.261,28.985,0.940,0.940,0.906,0.917
