NumberofColors,#1_lab_G,#2_lab_G,#1_lab_P,#2_lab_P,#1_lab_S,#2_lab_S,#1_lab_V,#2_lab_V
1,0.193,0.193,17.916,17.916,0.855,0.855,0.066,0.066
2,0.148,0.148,22.391,22.391,0.871,0.871,0.557,0.557
3,0.075,0.075,26.622,26.622,0.919,0.919,0.813,0.813
4,0.081,0.055,27.465,28.888,0.921,0.939,0.817,0.877
5,0.058,0.055,28.488,29.070,0.935,0.940,0.847,0.874
6,0.054,0.055,28.658,29.194,0.937,0.939,0.853,0.870
7,0.053,0.050,28.910,29.394,0.937,0.942,0.860,0.875
8,0.048,0.049,29.757,29.694,0.944,0.942,0.877,0.882
9,0.047,0.044,29.784,30.034,0.945,0.946,0.878,0.888
10,0.047,0.042,29.806,30.266,0.945,0.948,0.880,0.894
11,0.046,0.042,29.902,31.213,0.946,0.951,0.884,0.911
12,0.046,0.040,30.171,31.842,0.948,0.952,0.902,0.928
13,0.046,0.040,30.178,31.836,0.948,0.952,0.901,0.920
14,0.045,0.040,30.334,31.870,0.949,0.952,0.904,0.920
15,0.044,0.040,30.496,31.926,0.950,0.952,0.908,0.921
16,0.044,0.038,30.512,32.084,0.951,0.953,0.906,0.924
17,0.044,0.038,30.545,32.232,0.951,0.955,0.907,0.932
18,0.043,0.038,30.672,32.254,0.953,0.955,0.909,0.936
19,0.042,0.038,30.683,32.266,0.953,0.955,0.911,0.936
20,0.042,0.037,30.706,32.288,0.953,0.955,0.909,0.935
