NumberofColors,#1_lab_G,#2_lab_G,#1_lab_P,#2_lab_P,#1_lab_S,#2_lab_S,#1_lab_V,#2_lab_V
1,0.178,0.178,17.105,17.105,0.740,0.740,0.340,0.340
2,0.186,0.171,20.741,21.665,0.762,0.790,0.610,0.748
3,0.151,0.116,21.916,22.887,0.761,0.789,0.712,0.842
4,0.105,0.119,23.771,23.351,0.798,0.798,0.802,0.860
5,0.104,0.110,23.912,23.862,0.809,0.811,0.815,0.885
6,0.101,0.098,24.284,25.558,0.818,0.832,0.838,0.884
7,0.090,0.098,25.231,25.647,0.833,0.836,0.876,0.883
8,0.085,0.095,25.758,25.692,0.843,0.838,0.869,0.886
9,0.084,0.076,26.121,26.774,0.848,0.855,0.884,0.916
10,0.083,0.075,26.330,26.796,0.853,0.856,0.893,0.916
11,0.083,0.074,26.411,27.030,0.854,0.857,0.896,0.922
12,0.082,0.068,26.611,27.408,0.856,0.868,0.902,0.924
13,0.082,0.060,26.617,27.802,0.857,0.879,0.902,0.928
14,0.078,0.059,26.958,27.903,0.865,0.881,0.906,0.930
15,0.078,0.059,26.970,27.984,0.866,0.882,0.907,0.932
16,0.077,0.059,26.989,28.016,0.867,0.883,0.907,0.933
17,0.077,0.058,26.995,28.068,0.867,0.885,0.907,0.934
18,0.077,0.051,27.023,28.844,0.869,0.896,0.905,0.938
19,0.076,0.051,27.162,28.850,0.874,0.896,0.907,0.938
20,0.075,0.051,27.233,28.855,0.876,0.896,0.908,0.938
