NumberofColors,#1_lab_G,#2_lab_G,#1_lab_P,#2_lab_P,#1_lab_S,#2_lab_S,#1_lab_V,#2_lab_V
1,0.241,0.241,21.025,21.025,0.799,0.799,0.301,0.301
2,0.123,0.107,22.006,23.276,0.798,0.849,0.435,0.575
3,0.134,0.108,22.631,23.738,0.797,0.832,0.477,0.589
4,0.126,0.105,23.107,24.470,0.805,0.846,0.505,0.648
5,0.127,0.098,23.792,26.260,0.806,0.848,0.564,0.742
6,0.118,0.089,24.414,26.984,0.822,0.863,0.608,0.776
7,0.104,0.090,25.402,27.240,0.837,0.869,0.670,0.775
8,0.103,0.073,25.594,27.933,0.841,0.877,0.673,0.800
9,0.093,0.068,26.197,28.130,0.845,0.880,0.707,0.809
10,0.089,0.067,26.434,28.254,0.851,0.882,0.722,0.812
11,0.089,0.063,26.710,28.566,0.856,0.887,0.732,0.823
12,0.088,0.055,26.752,29.222,0.856,0.897,0.734,0.838
13,0.078,0.052,27.474,29.437,0.870,0.899,0.767,0.841
14,0.066,0.051,28.289,29.549,0.878,0.903,0.799,0.842
15,0.065,0.050,28.442,29.735,0.881,0.904,0.807,0.848
16,0.064,0.050,28.573,29.817,0.883,0.906,0.807,0.849
17,0.059,0.048,28.869,29.931,0.886,0.908,0.816,0.851
18,0.056,0.047,29.076,30.072,0.892,0.909,0.819,0.853
19,0.053,0.044,29.448,30.178,0.897,0.910,0.831,0.856
20,0.052,0.041,29.478,30.670,0.898,0.917,0.832,0.869
