NumberofColors,#1_lab_G,#2_lab_G,#1_lab_P,#2_lab_P,#1_lab_S,#2_lab_S,#1_lab_V,#2_lab_V
1,0.174,0.174,20.339,20.339,0.942,0.942,0.095,0.095
2,0.194,0.194,22.096,22.096,0.926,0.926,0.262,0.262
3,0.193,0.163,22.225,24.704,0.924,0.938,0.310,0.464
4,0.189,0.136,22.444,25.474,0.921,0.930,0.337,0.515
5,0.173,0.137,22.826,25.773,0.928,0.925,0.393,0.541
6,0.178,0.130,23.036,26.793,0.925,0.925,0.394,0.645
7,0.158,0.134,24.701,27.221,0.918,0.922,0.539,0.677
8,0.130,0.135,25.948,27.655,0.922,0.927,0.603,0.699
9,0.137,0.128,26.339,27.793,0.919,0.930,0.628,0.709
10,0.140,0.125,26.646,28.290,0.916,0.931,0.648,0.729
11,0.128,0.123,26.964,28.419,0.921,0.930,0.678,0.742
12,0.130,0.122,27.200,28.591,0.923,0.932,0.690,0.749
13,0.130,0.108,27.260,28.964,0.923,0.931,0.697,0.760
14,0.121,0.107,28.588,29.073,0.929,0.932,0.748,0.765
15,0.120,0.086,28.873,29.533,0.930,0.934,0.768,0.790
16,0.120,0.086,28.924,29.745,0.930,0.936,0.770,0.802
17,0.112,0.085,29.085,30.007,0.932,0.940,0.776,0.806
18,0.112,0.086,29.156,30.168,0.932,0.940,0.781,0.813
19,0.113,0.086,29.227,30.198,0.933,0.940,0.785,0.813
20,0.113,0.086,29.266,30.217,0.933,0.940,0.788,0.815
