NumberofColors,#1_lab_G,#2_lab_G,#1_lab_P,#2_lab_P,#1_lab_S,#2_lab_S,#1_lab_V,#2_lab_V
1,0.354,0.354,14.838,14.838,0.903,0.903,0.000,0.000
2,0.166,0.178,17.240,17.692,0.890,0.784,0.341,0.408
3,0.276,0.199,19.584,18.291,0.899,0.773,0.592,0.485
4,0.244,0.183,20.063,18.555,0.875,0.771,0.594,0.499
5,0.199,0.170,21.402,19.102,0.877,0.790,0.673,0.529
6,0.200,0.169,21.399,20.059,0.876,0.811,0.666,0.602
7,0.108,0.119,23.301,23.444,0.892,0.926,0.769,0.842
8,0.108,0.111,23.315,24.060,0.891,0.934,0.771,0.860
9,0.109,0.116,23.333,23.435,0.890,0.928,0.773,0.840
10,0.109,0.115,23.370,23.464,0.887,0.926,0.774,0.841
11,0.110,0.113,23.440,23.537,0.884,0.928,0.776,0.846
12,0.105,0.112,23.576,23.563,0.886,0.929,0.782,0.847
13,0.107,0.110,23.916,23.596,0.884,0.929,0.798,0.847
14,0.097,0.108,24.768,23.664,0.895,0.930,0.816,0.851
15,0.097,0.109,24.853,23.788,0.898,0.927,0.819,0.856
16,0.092,0.109,25.104,23.808,0.907,0.928,0.828,0.858
17,0.091,0.107,25.163,23.875,0.910,0.931,0.831,0.858
18,0.074,0.107,26.408,23.876,0.950,0.931,0.873,0.858
19,0.074,0.107,26.436,23.947,0.951,0.935,0.874,0.861
20,0.074,0.114,26.462,24.187,0.952,0.936,0.875,0.870
