NumberofColors,#1_lab_G,#2_lab_G,#1_lab_P,#2_lab_P,#1_lab_S,#2_lab_S,#1_lab_V,#2_lab_V
1,0.090,0.090,27.144,27.144,0.951,0.951,0.835,0.835
2,0.066,0.066,29.916,29.916,0.960,0.960,0.898,0.898
3,0.050,0.050,31.296,31.296,0.970,0.970,0.915,0.915
4,0.041,0.041,32.363,32.361,0.976,0.976,0.937,0.937
5,0.037,0.037,33.112,33.110,0.980,0.980,0.946,0.947
6,0.043,0.043,33.628,33.626,0.983,0.983,0.953,0.954
7,0.030,0.030,33.990,33.987,0.984,0.984,0.957,0.957
8,0.022,0.022,34.222,34.220,0.985,0.985,0.959,0.960
9,0.020,0.020,34.301,34.299,0.985,0.985,0.960,0.961
10,0.020,0.019,34.358,35.903,0.985,0.985,0.959,0.976
11,0.019,0.018,34.451,35.924,0.985,0.985,0.959,0.976
12,0.019,0.018,34.462,36.006,0.985,0.984,0.959,0.975
13,0.019,0.018,34.465,36.143,0.985,0.984,0.959,0.975
14,0.019,0.013,34.467,38.488,0.985,0.989,0.959,0.965
15,0.019,0.013,34.497,38.444,0.985,0.989,0.963,0.962
16,0.019,0.013,34.502,38.450,0.985,0.989,0.963,0.962
17,0.019,0.013,34.505,38.454,0.985,0.989,0.963,0.962
18,0.018,0.012,35.711,38.529,0.982,0.989,0.964,0.966
19,0.013,0.012,38.468,38.554,0.988,0.989,0.976,0.965
20,0.013,0.012,38.510,38.561,0.988,0.989,0.975,0.965
