NumberofColors,#1_lab_G,#2_lab_G,#1_lab_P,#2_lab_P,#1_lab_S,#2_lab_S,#1_lab_V,#2_lab_V
1,0.160,0.160,18.034,18.034,0.801,0.801,0.336,0.336
2,0.149,0.137,22.282,23.615,0.812,0.821,0.658,0.789
3,0.162,0.127,22.694,24.311,0.826,0.838,0.653,0.776
4,0.147,0.122,24.681,25.102,0.856,0.845,0.763,0.808
5,0.112,0.113,26.267,25.410,0.872,0.857,0.822,0.810
6,0.107,0.109,26.477,25.940,0.878,0.857,0.827,0.835
7,0.100,0.099,27.090,26.335,0.884,0.862,0.852,0.853
8,0.094,0.094,27.761,26.769,0.891,0.871,0.876,0.857
9,0.093,0.092,27.787,27.105,0.891,0.878,0.876,0.873
10,0.084,0.091,28.380,27.140,0.900,0.879,0.895,0.873
11,0.083,0.090,28.410,27.208,0.900,0.880,0.897,0.874
12,0.083,0.089,28.420,27.237,0.901,0.882,0.900,0.874
13,0.078,0.089,28.551,27.326,0.904,0.885,0.898,0.876
14,0.078,0.083,28.572,27.482,0.904,0.887,0.898,0.882
15,0.076,0.082,28.719,27.496,0.906,0.888,0.903,0.882
16,0.076,0.081,28.799,27.570,0.907,0.889,0.903,0.885
17,0.076,0.081,28.805,27.582,0.907,0.890,0.903,0.886
18,0.076,0.075,28.809,28.788,0.907,0.900,0.903,0.915
19,0.074,0.075,28.974,28.787,0.909,0.900,0.908,0.914
20,0.074,0.075,29.140,28.797,0.911,0.900,0.925,0.914
