NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.193,0.234,13.709,19.103,0.475,0.784,0.089,0.014
2,0.151,0.135,18.326,22.946,0.714,0.821,0.396,0.427
3,0.175,0.119,19.701,23.388,0.725,0.829,0.428,0.474
4,0.171,0.118,20.754,23.771,0.812,0.835,0.574,0.505
5,0.171,0.088,20.989,25.293,0.820,0.864,0.596,0.625
6,0.168,0.078,21.664,25.545,0.847,0.876,0.657,0.645
7,0.167,0.077,21.874,25.679,0.851,0.878,0.674,0.656
8,0.115,0.076,23.008,25.841,0.845,0.882,0.729,0.673
9,0.102,0.073,24.009,25.911,0.861,0.885,0.740,0.679
10,0.100,0.073,24.376,25.948,0.870,0.885,0.765,0.684
11,0.098,0.073,24.615,25.971,0.873,0.886,0.775,0.686
12,0.096,0.072,25.061,26.003,0.882,0.888,0.805,0.689
13,0.095,0.070,25.232,26.221,0.885,0.893,0.811,0.701
14,0.094,0.067,25.444,26.604,0.889,0.898,0.820,0.726
15,0.094,0.067,25.514,26.629,0.890,0.899,0.822,0.729
16,0.083,0.060,25.948,27.244,0.897,0.911,0.828,0.761
17,0.082,0.060,26.100,27.260,0.900,0.912,0.833,0.762
18,0.082,0.052,26.283,27.844,0.902,0.921,0.842,0.790
19,0.080,0.052,26.396,27.878,0.904,0.922,0.847,0.792
20,0.079,0.052,26.468,27.901,0.905,0.923,0.850,0.792
