NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.142,0.222,15.820,20.060,0.531,0.802,0.206,0.028
2,0.213,0.269,17.697,21.661,0.568,0.793,0.498,0.110
3,0.215,0.128,18.229,23.848,0.624,0.823,0.576,0.330
4,0.161,0.121,20.417,24.129,0.657,0.821,0.691,0.349
5,0.160,0.108,21.660,25.300,0.691,0.836,0.717,0.485
6,0.157,0.105,21.874,25.597,0.701,0.846,0.731,0.510
7,0.111,0.095,22.460,25.742,0.728,0.849,0.745,0.536
8,0.097,0.093,22.955,25.793,0.734,0.850,0.767,0.543
9,0.092,0.092,23.305,25.921,0.754,0.853,0.793,0.552
10,0.090,0.089,23.445,26.352,0.764,0.851,0.804,0.588
11,0.089,0.090,24.034,26.490,0.775,0.853,0.820,0.599
12,0.080,0.090,24.312,26.694,0.785,0.854,0.833,0.612
13,0.079,0.087,24.475,26.982,0.793,0.856,0.841,0.635
14,0.078,0.086,24.564,27.016,0.797,0.857,0.845,0.635
15,0.075,0.078,24.885,27.334,0.799,0.862,0.850,0.661
16,0.075,0.077,24.967,27.397,0.802,0.863,0.852,0.665
17,0.074,0.073,25.021,27.887,0.805,0.869,0.855,0.688
18,0.074,0.070,25.156,28.022,0.811,0.870,0.859,0.699
19,0.073,0.069,25.200,28.114,0.813,0.872,0.861,0.705
20,0.072,0.063,25.275,28.688,0.816,0.879,0.863,0.738
