NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.247,0.222,7.865,12.497,0.296,0.742,0.023,0.047
2,0.232,0.167,13.304,17.935,0.638,0.876,0.359,0.601
3,0.156,0.160,16.986,23.130,0.695,0.894,0.587,0.874
4,0.168,0.170,17.785,23.389,0.757,0.902,0.627,0.877
5,0.169,0.090,17.932,26.659,0.774,0.922,0.637,0.941
6,0.167,0.073,17.979,28.935,0.778,0.932,0.637,0.967
7,0.192,0.072,20.174,29.070,0.792,0.933,0.744,0.967
8,0.192,0.062,20.450,29.732,0.805,0.937,0.756,0.973
9,0.158,0.058,21.909,29.904,0.808,0.939,0.812,0.975
10,0.157,0.058,21.989,29.928,0.812,0.939,0.814,0.975
11,0.157,0.058,22.038,29.933,0.814,0.939,0.814,0.974
12,0.123,0.055,24.657,30.356,0.874,0.940,0.865,0.977
13,0.123,0.052,24.756,30.770,0.877,0.941,0.867,0.980
14,0.118,0.050,25.025,30.938,0.879,0.944,0.870,0.980
15,0.095,0.050,25.898,30.973,0.893,0.944,0.884,0.981
16,0.094,0.047,26.126,31.297,0.896,0.945,0.885,0.983
17,0.093,0.043,26.234,31.645,0.897,0.947,0.886,0.985
18,0.093,0.039,26.294,31.937,0.898,0.948,0.888,0.986
19,0.092,0.037,26.474,32.217,0.899,0.949,0.891,0.987
20,0.091,0.037,26.562,32.252,0.900,0.949,0.893,0.988
