NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.209,0.184,13.682,17.959,0.469,0.732,0.077,0.080
2,0.188,0.198,15.448,18.644,0.584,0.738,0.278,0.116
3,0.195,0.179,17.159,19.436,0.618,0.752,0.475,0.255
4,0.187,0.153,18.168,22.265,0.660,0.791,0.538,0.535
5,0.187,0.146,18.550,22.425,0.667,0.795,0.589,0.548
6,0.185,0.143,19.395,23.089,0.692,0.801,0.628,0.595
7,0.184,0.142,19.909,23.225,0.702,0.805,0.664,0.607
8,0.163,0.138,20.441,23.372,0.721,0.809,0.686,0.616
9,0.142,0.138,21.478,23.433,0.754,0.811,0.722,0.623
10,0.140,0.132,21.714,23.667,0.763,0.814,0.732,0.639
11,0.138,0.128,22.044,23.779,0.771,0.821,0.753,0.647
12,0.127,0.125,22.406,23.888,0.780,0.821,0.765,0.663
13,0.124,0.123,22.762,24.101,0.776,0.827,0.774,0.682
14,0.123,0.115,22.857,24.554,0.780,0.829,0.778,0.706
15,0.121,0.110,22.964,24.678,0.782,0.837,0.782,0.714
16,0.116,0.104,23.242,25.022,0.789,0.842,0.795,0.736
17,0.101,0.095,23.517,25.398,0.794,0.846,0.802,0.755
18,0.101,0.094,23.610,25.593,0.798,0.849,0.805,0.764
19,0.099,0.092,23.663,25.677,0.799,0.852,0.808,0.768
20,0.098,0.090,23.805,25.827,0.802,0.855,0.812,0.772
