NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.265,0.245,11.446,15.938,0.103,0.644,0.000,0.001
2,0.212,0.116,16.691,21.419,0.774,0.879,0.479,0.564
3,0.196,0.110,18.198,21.532,0.828,0.888,0.592,0.571
4,0.196,0.106,18.533,21.605,0.838,0.895,0.611,0.562
5,0.100,0.106,20.647,21.624,0.918,0.896,0.786,0.563
6,0.091,0.088,22.148,23.084,0.932,0.907,0.806,0.658
7,0.088,0.077,22.415,23.981,0.935,0.918,0.812,0.718
8,0.078,0.077,23.117,23.989,0.948,0.918,0.840,0.717
9,0.073,0.077,23.871,24.036,0.956,0.921,0.867,0.718
10,0.072,0.075,24.009,24.068,0.958,0.923,0.872,0.727
11,0.071,0.075,24.163,24.092,0.959,0.923,0.880,0.727
12,0.059,0.074,25.320,24.152,0.965,0.928,0.897,0.726
13,0.057,0.065,25.517,24.733,0.967,0.935,0.903,0.756
14,0.055,0.058,25.737,25.490,0.968,0.941,0.906,0.796
15,0.048,0.049,26.115,26.161,0.970,0.947,0.914,0.823
16,0.046,0.049,26.583,26.171,0.972,0.947,0.919,0.822
17,0.046,0.040,26.692,27.036,0.973,0.952,0.921,0.861
18,0.044,0.040,26.820,27.062,0.974,0.953,0.922,0.861
19,0.044,0.040,26.884,27.091,0.974,0.954,0.923,0.862
20,0.044,0.040,26.957,27.116,0.974,0.955,0.924,0.863
