NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.278,0.203,14.163,18.868,0.487,0.813,0.002,0.038
2,0.218,0.111,19.513,24.421,0.711,0.887,0.487,0.640
3,0.199,0.105,21.721,25.073,0.758,0.885,0.565,0.655
4,0.174,0.093,23.085,25.932,0.818,0.898,0.696,0.709
5,0.156,0.084,24.090,27.302,0.819,0.903,0.703,0.769
6,0.140,0.085,24.870,27.518,0.840,0.904,0.729,0.775
7,0.139,0.076,25.121,28.580,0.845,0.917,0.755,0.824
8,0.133,0.073,25.395,29.401,0.854,0.928,0.766,0.857
9,0.107,0.072,26.057,29.468,0.868,0.928,0.776,0.859
10,0.106,0.067,26.223,29.582,0.873,0.929,0.779,0.860
11,0.104,0.067,26.560,29.621,0.877,0.930,0.780,0.866
12,0.103,0.066,26.656,29.676,0.879,0.930,0.787,0.867
13,0.099,0.066,26.896,29.715,0.882,0.931,0.800,0.870
14,0.085,0.065,27.672,29.753,0.900,0.931,0.828,0.873
15,0.084,0.055,27.803,30.411,0.902,0.937,0.828,0.891
16,0.084,0.046,27.904,31.020,0.904,0.941,0.833,0.905
17,0.077,0.045,28.375,31.194,0.913,0.942,0.842,0.908
18,0.074,0.045,28.759,31.224,0.917,0.943,0.859,0.920
19,0.071,0.045,28.891,31.245,0.917,0.943,0.868,0.920
20,0.071,0.044,28.946,31.447,0.917,0.945,0.871,0.925
