NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.240,0.133,13.761,19.402,0.690,0.886,0.056,0.201
2,0.247,0.249,17.257,22.217,0.739,0.885,0.342,0.573
3,0.158,0.234,19.223,22.526,0.788,0.878,0.468,0.579
4,0.157,0.209,21.244,22.731,0.785,0.881,0.558,0.597
5,0.152,0.209,21.741,22.784,0.802,0.883,0.565,0.595
6,0.142,0.203,22.073,22.829,0.810,0.884,0.588,0.597
7,0.137,0.148,22.907,23.816,0.826,0.888,0.671,0.656
8,0.134,0.131,23.107,24.469,0.832,0.896,0.685,0.697
9,0.122,0.116,23.356,25.002,0.836,0.904,0.691,0.724
10,0.115,0.104,23.660,26.079,0.843,0.910,0.716,0.773
11,0.114,0.090,23.868,27.037,0.849,0.916,0.716,0.808
12,0.112,0.082,24.237,27.533,0.857,0.919,0.719,0.825
13,0.104,0.082,25.174,27.547,0.850,0.919,0.737,0.825
14,0.103,0.071,25.400,28.483,0.852,0.926,0.748,0.860
15,0.101,0.071,25.474,28.502,0.854,0.926,0.753,0.861
16,0.097,0.069,25.709,28.559,0.858,0.926,0.761,0.863
17,0.096,0.067,25.798,28.746,0.860,0.926,0.768,0.869
18,0.094,0.067,26.072,28.787,0.864,0.927,0.798,0.854
19,0.091,0.067,26.173,28.791,0.860,0.927,0.803,0.854
20,0.088,0.066,26.399,28.897,0.858,0.928,0.821,0.847
