NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.329,0.319,11.210,16.074,0.423,0.749,0.001,0.001
2,0.237,0.304,13.234,16.420,0.579,0.732,0.164,0.005
3,0.228,0.272,15.970,16.612,0.645,0.721,0.353,0.019
4,0.229,0.228,16.867,17.736,0.668,0.745,0.439,0.146
5,0.187,0.196,18.720,19.110,0.737,0.751,0.545,0.287
6,0.159,0.158,19.625,20.396,0.757,0.752,0.594,0.418
7,0.155,0.152,20.093,21.373,0.770,0.767,0.613,0.527
8,0.156,0.152,20.169,21.528,0.775,0.775,0.630,0.540
9,0.144,0.152,20.548,21.681,0.789,0.778,0.664,0.560
10,0.144,0.152,20.646,21.717,0.793,0.778,0.671,0.563
11,0.142,0.152,20.712,21.717,0.795,0.778,0.675,0.562
12,0.134,0.150,20.980,21.949,0.805,0.793,0.685,0.590
13,0.113,0.144,23.509,22.266,0.855,0.816,0.782,0.613
14,0.112,0.145,24.062,22.318,0.859,0.817,0.822,0.617
15,0.112,0.145,24.313,22.321,0.861,0.818,0.835,0.617
16,0.111,0.145,24.617,22.352,0.861,0.818,0.871,0.619
17,0.111,0.145,24.701,22.479,0.864,0.822,0.872,0.630
18,0.111,0.145,24.739,22.551,0.864,0.824,0.874,0.636
19,0.107,0.135,25.045,23.520,0.871,0.826,0.873,0.673
20,0.103,0.135,25.433,23.517,0.874,0.826,0.880,0.673
