NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.127,0.068,16.701,21.642,0.675,0.878,0.298,0.716
2,0.134,0.052,18.175,25.034,0.731,0.929,0.532,0.891
3,0.113,0.058,24.899,25.830,0.851,0.921,0.759,0.913
4,0.092,0.095,25.520,26.848,0.861,0.920,0.787,0.936
5,0.090,0.090,25.651,28.918,0.864,0.936,0.802,0.961
6,0.064,0.050,30.297,30.553,0.927,0.943,0.829,0.978
7,0.064,0.043,30.392,32.199,0.927,0.954,0.830,0.976
8,0.064,0.042,30.490,32.324,0.928,0.955,0.853,0.974
9,0.063,0.042,30.549,32.372,0.929,0.955,0.857,0.973
10,0.063,0.042,30.571,32.372,0.929,0.955,0.857,0.974
11,0.063,0.028,30.641,33.213,0.929,0.958,0.858,0.981
12,0.063,0.028,30.738,33.238,0.929,0.958,0.859,0.981
13,0.063,0.028,30.755,33.263,0.929,0.959,0.859,0.980
14,0.062,0.028,31.035,33.288,0.931,0.959,0.884,0.980
15,0.062,0.028,31.048,33.316,0.931,0.959,0.885,0.981
16,0.060,0.028,31.148,33.440,0.932,0.959,0.886,0.981
17,0.060,0.027,31.159,33.542,0.932,0.960,0.886,0.983
18,0.052,0.028,32.326,33.527,0.944,0.960,0.909,0.984
19,0.043,0.028,33.065,33.577,0.947,0.960,0.903,0.988
20,0.043,0.028,33.600,33.552,0.949,0.960,0.912,0.986
