NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.157,0.145,14.680,19.770,0.580,0.801,0.190,0.126
2,0.178,0.146,17.745,20.598,0.626,0.796,0.398,0.172
3,0.186,0.159,18.516,22.315,0.636,0.793,0.457,0.439
4,0.185,0.157,19.396,23.796,0.669,0.798,0.539,0.542
5,0.141,0.155,20.257,24.330,0.705,0.816,0.581,0.597
6,0.115,0.116,21.126,24.865,0.733,0.827,0.622,0.655
7,0.108,0.112,21.496,25.134,0.757,0.839,0.640,0.668
8,0.107,0.111,21.738,25.225,0.765,0.843,0.665,0.679
9,0.104,0.095,21.958,26.056,0.774,0.849,0.689,0.710
10,0.100,0.094,22.530,26.090,0.783,0.850,0.741,0.713
11,0.094,0.094,23.882,26.232,0.808,0.852,0.765,0.719
12,0.093,0.092,23.990,26.696,0.812,0.858,0.772,0.744
13,0.094,0.092,24.950,26.801,0.813,0.861,0.797,0.750
14,0.093,0.091,25.118,26.861,0.815,0.862,0.807,0.735
15,0.092,0.082,25.281,27.199,0.819,0.868,0.816,0.751
16,0.083,0.081,25.658,27.267,0.833,0.869,0.818,0.754
17,0.080,0.076,25.784,27.719,0.836,0.876,0.824,0.772
18,0.079,0.075,25.829,27.875,0.837,0.879,0.825,0.781
19,0.079,0.074,25.844,28.001,0.838,0.881,0.826,0.787
20,0.079,0.073,25.908,28.203,0.839,0.885,0.829,0.799
