NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.229,0.194,13.684,18.736,0.312,0.697,0.003,0.047
2,0.248,0.255,15.737,19.257,0.604,0.707,0.190,0.105
3,0.171,0.132,17.032,21.863,0.608,0.788,0.338,0.348
4,0.187,0.122,19.192,23.546,0.705,0.830,0.520,0.542
5,0.186,0.118,19.991,23.761,0.728,0.837,0.578,0.560
6,0.185,0.108,20.270,24.033,0.736,0.845,0.598,0.575
7,0.134,0.106,20.966,24.168,0.765,0.849,0.639,0.583
8,0.122,0.096,21.130,24.765,0.772,0.866,0.654,0.634
9,0.116,0.095,21.806,24.879,0.805,0.871,0.687,0.638
10,0.116,0.082,21.878,25.646,0.807,0.881,0.690,0.686
11,0.113,0.079,22.008,25.853,0.811,0.884,0.698,0.699
12,0.098,0.078,23.160,25.909,0.842,0.886,0.761,0.706
13,0.096,0.075,23.362,26.248,0.846,0.890,0.770,0.729
14,0.094,0.072,23.672,26.447,0.852,0.893,0.784,0.739
15,0.091,0.070,23.912,26.468,0.855,0.894,0.795,0.739
16,0.077,0.069,24.436,26.487,0.865,0.895,0.823,0.739
17,0.075,0.066,24.597,26.663,0.870,0.898,0.833,0.751
18,0.075,0.065,24.698,26.717,0.872,0.900,0.838,0.754
19,0.075,0.065,24.868,26.735,0.874,0.901,0.843,0.755
20,0.074,0.060,24.950,27.204,0.876,0.906,0.848,0.775
