NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.289,0.252,10.573,15.362,0.333,0.633,0.028,0.029
2,0.219,0.265,12.723,16.235,0.490,0.678,0.230,0.075
3,0.227,0.250,13.868,16.352,0.540,0.702,0.298,0.084
4,0.224,0.170,15.245,19.751,0.587,0.774,0.455,0.488
5,0.189,0.163,16.204,20.270,0.606,0.786,0.560,0.534
6,0.166,0.115,18.489,22.112,0.693,0.818,0.636,0.670
7,0.160,0.113,18.832,22.144,0.713,0.820,0.654,0.670
8,0.160,0.108,19.246,22.268,0.722,0.818,0.675,0.676
9,0.159,0.107,19.299,22.307,0.726,0.821,0.679,0.679
10,0.138,0.107,19.814,22.341,0.732,0.822,0.720,0.682
11,0.137,0.105,19.862,22.728,0.733,0.822,0.724,0.706
12,0.137,0.104,19.944,23.104,0.733,0.821,0.738,0.728
13,0.137,0.101,19.978,23.205,0.734,0.825,0.740,0.731
14,0.136,0.101,20.169,23.344,0.740,0.829,0.752,0.731
15,0.133,0.096,20.453,23.651,0.747,0.832,0.773,0.745
16,0.132,0.094,20.532,23.720,0.750,0.834,0.777,0.750
17,0.131,0.094,20.777,23.740,0.759,0.836,0.793,0.750
18,0.130,0.094,20.916,23.752,0.764,0.837,0.799,0.751
19,0.130,0.091,20.935,24.022,0.765,0.838,0.800,0.758
20,0.130,0.086,20.947,24.293,0.765,0.844,0.801,0.769
