NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.215,0.282,11.158,16.145,0.235,0.527,0.076,0.002
2,0.216,0.238,12.852,16.722,0.471,0.616,0.225,0.033
3,0.194,0.233,14.791,17.165,0.573,0.681,0.422,0.097
4,0.178,0.235,15.360,17.201,0.590,0.688,0.485,0.100
5,0.191,0.172,16.767,18.834,0.675,0.739,0.574,0.271
6,0.159,0.138,17.640,21.067,0.720,0.784,0.626,0.501
7,0.157,0.134,17.981,21.153,0.743,0.790,0.652,0.506
8,0.147,0.134,18.321,21.195,0.757,0.794,0.675,0.512
9,0.144,0.134,18.432,21.225,0.764,0.796,0.680,0.515
10,0.139,0.125,18.636,21.908,0.768,0.817,0.686,0.583
11,0.136,0.120,18.818,22.546,0.772,0.825,0.695,0.633
12,0.133,0.119,18.940,22.762,0.779,0.827,0.702,0.647
13,0.106,0.117,20.322,22.996,0.817,0.832,0.760,0.666
14,0.105,0.114,20.615,23.368,0.830,0.838,0.771,0.690
15,0.102,0.114,20.845,23.399,0.835,0.839,0.781,0.692
16,0.099,0.113,21.165,23.494,0.842,0.840,0.793,0.698
17,0.097,0.112,21.323,23.523,0.847,0.843,0.800,0.698
18,0.097,0.112,21.402,23.590,0.850,0.845,0.803,0.702
19,0.095,0.101,21.482,24.335,0.853,0.858,0.806,0.739
20,0.093,0.099,21.834,24.621,0.861,0.863,0.817,0.754
