NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.267,0.170,12.537,18.159,0.602,0.840,0.025,0.287
2,0.212,0.205,15.285,19.817,0.756,0.806,0.177,0.396
3,0.162,0.170,18.430,23.641,0.803,0.897,0.402,0.684
4,0.152,0.162,19.551,24.060,0.790,0.885,0.507,0.724
5,0.128,0.147,19.928,24.555,0.814,0.887,0.539,0.759
6,0.117,0.136,21.742,24.751,0.845,0.890,0.690,0.760
7,0.111,0.135,21.954,24.811,0.852,0.891,0.699,0.762
8,0.101,0.135,22.519,24.825,0.858,0.891,0.726,0.761
9,0.086,0.133,23.181,24.945,0.866,0.892,0.758,0.766
10,0.085,0.122,24.290,25.105,0.882,0.894,0.827,0.775
11,0.081,0.122,24.662,25.117,0.885,0.894,0.838,0.776
12,0.079,0.121,24.801,25.171,0.888,0.895,0.842,0.778
13,0.078,0.121,24.916,25.176,0.889,0.895,0.848,0.778
14,0.076,0.121,25.474,25.188,0.895,0.896,0.863,0.779
15,0.076,0.121,25.501,25.221,0.896,0.897,0.864,0.780
16,0.076,0.121,25.611,25.236,0.896,0.897,0.866,0.781
17,0.074,0.121,25.677,25.250,0.897,0.897,0.868,0.781
18,0.074,0.119,25.815,25.407,0.899,0.887,0.871,0.782
19,0.073,0.119,25.902,25.427,0.901,0.888,0.874,0.783
20,0.069,0.119,26.157,25.439,0.903,0.889,0.880,0.783
