NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.268,0.288,12.839,16.570,0.453,0.757,0.052,0.014
2,0.244,0.195,15.973,18.290,0.557,0.755,0.328,0.137
3,0.243,0.193,16.666,18.847,0.595,0.753,0.431,0.242
4,0.183,0.169,18.520,21.668,0.656,0.803,0.540,0.548
5,0.179,0.165,19.021,21.954,0.665,0.807,0.600,0.570
6,0.163,0.134,19.891,23.409,0.694,0.820,0.618,0.672
7,0.151,0.130,20.574,23.517,0.717,0.823,0.630,0.678
8,0.148,0.113,20.820,24.369,0.732,0.835,0.658,0.726
9,0.148,0.112,21.008,24.542,0.740,0.841,0.661,0.737
10,0.144,0.105,21.325,24.771,0.754,0.841,0.676,0.751
11,0.124,0.100,21.489,25.315,0.751,0.847,0.689,0.775
12,0.120,0.100,21.750,25.415,0.757,0.848,0.709,0.780
13,0.121,0.099,21.867,25.507,0.762,0.851,0.718,0.784
14,0.120,0.095,22.044,25.698,0.766,0.857,0.719,0.794
15,0.119,0.095,22.225,25.756,0.770,0.859,0.729,0.793
16,0.116,0.094,22.335,25.809,0.774,0.860,0.734,0.797
17,0.115,0.093,22.416,25.915,0.778,0.863,0.745,0.802
18,0.115,0.093,22.484,25.934,0.780,0.864,0.750,0.802
19,0.113,0.093,22.555,26.014,0.779,0.865,0.752,0.806
20,0.111,0.089,22.704,26.256,0.782,0.867,0.756,0.815
