NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.232,0.236,11.492,15.754,0.280,0.624,0.085,0.023
2,0.303,0.269,13.728,17.141,0.437,0.654,0.282,0.131
3,0.301,0.282,14.395,17.440,0.485,0.651,0.333,0.185
4,0.306,0.248,15.020,17.725,0.504,0.668,0.422,0.203
5,0.307,0.234,15.256,18.017,0.529,0.692,0.448,0.222
6,0.178,0.225,16.725,18.403,0.610,0.700,0.534,0.264
7,0.167,0.178,17.244,19.789,0.651,0.744,0.563,0.411
8,0.167,0.170,17.425,20.396,0.663,0.758,0.581,0.478
9,0.164,0.169,17.593,20.481,0.673,0.762,0.595,0.486
10,0.155,0.169,18.037,20.598,0.677,0.771,0.631,0.487
11,0.155,0.133,18.151,21.660,0.682,0.790,0.640,0.576
12,0.129,0.128,19.244,21.798,0.715,0.795,0.712,0.588
13,0.127,0.127,19.390,22.053,0.720,0.802,0.720,0.604
14,0.117,0.126,19.950,22.107,0.736,0.805,0.756,0.612
15,0.116,0.109,20.085,22.687,0.743,0.810,0.760,0.644
16,0.110,0.109,20.638,22.719,0.765,0.813,0.789,0.646
17,0.109,0.107,20.776,22.770,0.768,0.816,0.794,0.649
18,0.107,0.104,20.910,22.990,0.772,0.820,0.801,0.662
19,0.103,0.104,21.297,23.033,0.783,0.822,0.813,0.665
20,0.101,0.103,21.470,23.089,0.787,0.824,0.820,0.666
