NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.200,0.161,19.196,24.658,0.701,0.887,0.182,0.145
2,0.163,0.127,21.764,27.641,0.759,0.900,0.389,0.469
3,0.143,0.122,23.592,28.344,0.800,0.897,0.510,0.568
4,0.139,0.083,25.205,29.064,0.810,0.904,0.651,0.628
5,0.137,0.083,25.363,29.224,0.816,0.906,0.676,0.637
6,0.112,0.083,26.260,29.320,0.837,0.906,0.712,0.642
7,0.106,0.079,26.631,29.586,0.848,0.911,0.734,0.668
8,0.104,0.074,26.982,30.114,0.855,0.912,0.752,0.693
9,0.103,0.073,27.122,30.179,0.860,0.911,0.759,0.699
10,0.100,0.072,27.410,30.309,0.866,0.914,0.767,0.706
11,0.098,0.069,27.498,30.416,0.867,0.917,0.774,0.712
12,0.097,0.068,27.543,30.550,0.869,0.919,0.781,0.712
13,0.096,0.068,27.583,30.584,0.870,0.920,0.783,0.719
14,0.073,0.068,28.250,30.634,0.884,0.921,0.817,0.728
15,0.073,0.068,28.268,30.667,0.884,0.922,0.819,0.729
16,0.073,0.068,28.387,30.691,0.887,0.922,0.824,0.731
17,0.068,0.064,28.553,30.918,0.892,0.925,0.832,0.747
18,0.068,0.061,28.605,31.200,0.892,0.928,0.833,0.761
19,0.063,0.060,28.750,31.261,0.895,0.929,0.839,0.765
20,0.063,0.060,28.795,31.274,0.895,0.929,0.840,0.765
