NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.277,0.190,15.247,20.097,0.445,0.769,0.003,0.053
2,0.227,0.163,17.173,23.355,0.581,0.846,0.135,0.468
3,0.196,0.156,18.459,24.132,0.640,0.833,0.306,0.500
4,0.193,0.153,20.886,24.404,0.719,0.848,0.479,0.503
5,0.174,0.137,21.814,24.730,0.745,0.846,0.547,0.535
6,0.149,0.135,22.271,24.928,0.752,0.852,0.596,0.532
7,0.139,0.115,22.583,25.646,0.755,0.861,0.641,0.594
8,0.132,0.115,22.984,25.761,0.782,0.862,0.668,0.609
9,0.132,0.106,23.116,26.117,0.784,0.872,0.674,0.639
10,0.129,0.096,23.335,26.439,0.792,0.879,0.694,0.670
11,0.126,0.096,23.977,26.474,0.814,0.880,0.725,0.674
12,0.125,0.093,24.172,26.590,0.820,0.882,0.736,0.684
13,0.124,0.093,24.328,26.611,0.827,0.883,0.746,0.686
14,0.124,0.092,24.459,26.674,0.831,0.884,0.756,0.691
15,0.097,0.091,25.476,26.700,0.856,0.885,0.779,0.692
16,0.095,0.090,25.792,26.821,0.858,0.889,0.795,0.693
17,0.087,0.089,26.084,26.881,0.864,0.891,0.802,0.698
18,0.086,0.087,26.184,26.984,0.867,0.893,0.807,0.708
19,0.085,0.086,26.267,27.057,0.869,0.894,0.809,0.709
20,0.077,0.086,26.484,27.093,0.869,0.894,0.818,0.711
