NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.304,0.243,11.294,16.422,0.590,0.857,0.004,0.023
2,0.254,0.155,17.091,22.269,0.790,0.912,0.440,0.577
3,0.247,0.160,17.772,24.375,0.842,0.907,0.556,0.718
4,0.147,0.141,22.780,26.236,0.870,0.935,0.751,0.804
5,0.146,0.140,23.130,26.345,0.877,0.934,0.762,0.825
6,0.143,0.078,23.259,28.023,0.882,0.942,0.774,0.866
7,0.142,0.076,23.555,28.214,0.877,0.945,0.812,0.876
8,0.112,0.073,25.348,28.644,0.889,0.946,0.864,0.886
9,0.102,0.069,26.289,29.060,0.906,0.948,0.897,0.895
10,0.099,0.060,26.692,29.975,0.910,0.952,0.896,0.916
11,0.099,0.056,26.767,30.704,0.910,0.953,0.900,0.922
12,0.092,0.056,27.020,30.756,0.921,0.953,0.903,0.924
13,0.092,0.052,27.065,31.253,0.921,0.954,0.905,0.922
14,0.092,0.052,27.129,31.268,0.921,0.954,0.903,0.922
15,0.086,0.051,27.397,31.317,0.924,0.955,0.901,0.923
16,0.083,0.051,27.649,31.418,0.928,0.955,0.903,0.926
17,0.083,0.051,27.664,31.477,0.928,0.956,0.903,0.926
18,0.083,0.049,27.680,31.723,0.928,0.957,0.903,0.929
19,0.082,0.048,27.836,31.898,0.926,0.957,0.904,0.931
20,0.078,0.045,27.957,32.384,0.929,0.959,0.903,0.936
