NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.274,0.250,11.419,15.996,0.620,0.864,0.005,0.018
2,0.168,0.083,19.371,27.008,0.865,0.962,0.577,0.890
3,0.149,0.059,23.327,28.422,0.892,0.962,0.820,0.911
4,0.143,0.050,24.270,30.328,0.886,0.962,0.860,0.913
5,0.112,0.046,26.649,31.582,0.916,0.967,0.942,0.923
6,0.102,0.045,27.405,32.105,0.928,0.970,0.942,0.927
7,0.099,0.042,27.576,32.946,0.931,0.973,0.944,0.933
8,0.093,0.035,27.950,33.153,0.939,0.974,0.950,0.935
9,0.092,0.035,28.020,33.458,0.939,0.975,0.951,0.942
10,0.087,0.035,29.640,33.533,0.939,0.976,0.958,0.943
11,0.087,0.035,29.760,33.563,0.941,0.976,0.961,0.944
12,0.080,0.035,30.142,33.661,0.944,0.976,0.965,0.946
13,0.074,0.035,31.157,33.728,0.953,0.976,0.973,0.947
14,0.074,0.034,31.195,33.906,0.953,0.977,0.973,0.946
15,0.073,0.033,31.315,34.310,0.953,0.978,0.974,0.949
16,0.072,0.033,31.506,34.468,0.954,0.979,0.978,0.952
17,0.072,0.032,31.531,34.958,0.954,0.979,0.978,0.956
18,0.064,0.026,31.845,35.660,0.957,0.980,0.979,0.958
19,0.063,0.026,31.955,35.682,0.958,0.980,0.979,0.958
20,0.063,0.025,32.136,35.752,0.958,0.980,0.978,0.957
