NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.253,0.313,14.722,19.020,0.602,0.852,0.025,0.007
2,0.218,0.304,19.420,19.117,0.698,0.850,0.400,0.010
3,0.202,0.221,20.612,22.401,0.751,0.856,0.511,0.409
4,0.169,0.136,22.975,24.330,0.791,0.878,0.647,0.583
5,0.166,0.119,23.250,25.645,0.803,0.879,0.683,0.647
6,0.156,0.119,24.336,25.664,0.832,0.880,0.710,0.647
7,0.145,0.113,25.115,25.863,0.841,0.882,0.760,0.660
8,0.145,0.107,25.234,26.515,0.843,0.890,0.778,0.700
9,0.128,0.107,25.731,26.535,0.858,0.889,0.775,0.701
10,0.125,0.106,25.912,26.562,0.858,0.890,0.795,0.702
11,0.125,0.106,26.126,26.579,0.858,0.890,0.802,0.703
12,0.125,0.097,26.243,27.112,0.860,0.895,0.816,0.735
13,0.111,0.096,27.320,27.209,0.880,0.896,0.818,0.740
14,0.111,0.095,27.456,27.284,0.884,0.898,0.820,0.746
15,0.110,0.095,27.524,27.289,0.885,0.898,0.823,0.746
16,0.108,0.092,27.611,27.551,0.888,0.901,0.827,0.760
17,0.107,0.092,27.740,27.562,0.889,0.902,0.833,0.761
18,0.107,0.092,27.765,27.566,0.889,0.902,0.835,0.761
19,0.107,0.092,27.838,27.570,0.891,0.902,0.837,0.761
20,0.106,0.091,28.097,27.580,0.893,0.903,0.856,0.759
