NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.269,0.242,14.013,18.703,0.240,0.676,0.009,0.008
2,0.256,0.249,16.615,19.605,0.555,0.702,0.248,0.044
3,0.256,0.187,17.719,20.882,0.608,0.767,0.393,0.188
4,0.158,0.126,19.488,23.596,0.729,0.836,0.560,0.483
5,0.155,0.121,20.088,23.866,0.760,0.841,0.598,0.506
6,0.141,0.119,20.824,23.951,0.791,0.848,0.645,0.508
7,0.139,0.118,21.068,24.016,0.803,0.850,0.659,0.509
8,0.137,0.111,21.283,24.448,0.807,0.859,0.678,0.552
9,0.119,0.105,21.735,24.933,0.830,0.870,0.700,0.594
10,0.117,0.104,21.902,24.985,0.838,0.873,0.717,0.598
11,0.092,0.104,23.201,25.015,0.866,0.874,0.762,0.599
12,0.086,0.077,23.425,26.343,0.872,0.893,0.772,0.691
13,0.085,0.076,23.606,26.405,0.875,0.895,0.781,0.695
14,0.080,0.073,24.171,26.705,0.886,0.898,0.804,0.713
15,0.075,0.073,24.427,26.720,0.895,0.899,0.814,0.714
16,0.072,0.071,24.637,26.819,0.899,0.902,0.827,0.722
17,0.066,0.059,25.005,27.508,0.905,0.912,0.843,0.759
18,0.065,0.058,25.182,27.532,0.908,0.913,0.848,0.760
19,0.064,0.058,25.286,27.563,0.910,0.915,0.850,0.762
20,0.062,0.057,25.553,27.608,0.914,0.916,0.858,0.764
