NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.224,0.128,13.515,19.810,0.595,0.878,0.139,0.569
2,0.174,0.139,19.922,22.937,0.762,0.901,0.708,0.759
3,0.145,0.153,21.790,25.864,0.817,0.925,0.845,0.880
4,0.144,0.069,22.408,29.589,0.829,0.950,0.870,0.956
5,0.104,0.042,26.505,31.484,0.869,0.955,0.900,0.979
6,0.101,0.037,27.058,32.354,0.873,0.958,0.934,0.987
7,0.093,0.035,28.204,32.905,0.897,0.959,0.926,0.991
8,0.093,0.032,28.236,33.046,0.897,0.960,0.927,0.991
9,0.081,0.031,29.565,33.141,0.926,0.962,0.932,1.006
10,0.080,0.031,29.736,33.197,0.927,0.962,0.942,1.006
11,0.064,0.031,30.549,33.222,0.932,0.963,0.952,1.006
12,0.064,0.031,30.700,33.351,0.934,0.963,0.955,1.006
13,0.064,0.031,30.727,33.430,0.934,0.963,0.956,1.004
14,0.063,0.031,30.954,33.447,0.937,0.963,0.953,1.005
15,0.063,0.028,30.990,33.665,0.937,0.965,0.955,1.004
16,0.063,0.028,31.030,33.678,0.938,0.965,0.956,1.004
17,0.063,0.025,31.169,33.897,0.939,0.968,0.958,1.000
18,0.063,0.025,31.229,33.861,0.940,0.968,0.963,1.001
19,0.063,0.025,31.240,34.160,0.940,0.968,0.963,1.000
20,0.064,0.025,31.214,34.133,0.937,0.968,0.968,1.002
