NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.257,0.186,18.755,22.646,0.650,0.867,0.052,0.680
2,0.196,0.130,23.576,27.820,0.774,0.917,0.504,0.918
3,0.178,0.095,26.281,29.233,0.832,0.932,0.667,0.968
4,0.165,0.075,26.709,32.634,0.840,0.955,0.722,0.982
5,0.129,0.071,27.947,33.238,0.879,0.956,0.769,0.989
6,0.123,0.072,28.676,33.323,0.884,0.956,0.821,0.999
7,0.114,0.053,29.199,34.220,0.895,0.962,0.823,1.007
8,0.102,0.051,29.767,34.371,0.910,0.962,0.829,1.001
9,0.086,0.051,31.527,34.382,0.932,0.962,0.856,1.001
10,0.085,0.050,31.566,34.437,0.932,0.962,0.859,1.001
11,0.082,0.047,31.804,35.033,0.934,0.967,0.859,1.004
12,0.079,0.042,32.168,35.552,0.936,0.970,0.870,0.999
13,0.076,0.040,32.408,35.705,0.939,0.971,0.898,0.999
14,0.074,0.039,32.534,35.852,0.941,0.972,0.895,1.004
15,0.073,0.039,32.632,35.918,0.942,0.972,0.903,1.009
16,0.068,0.038,32.853,36.035,0.945,0.972,0.907,1.003
17,0.067,0.038,33.023,36.119,0.947,0.973,0.912,1.003
18,0.062,0.038,33.661,36.126,0.951,0.973,0.923,1.002
19,0.060,0.038,33.909,36.149,0.953,0.973,0.927,1.002
20,0.059,0.038,33.988,36.169,0.954,0.973,0.934,0.999
