NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.253,0.178,8.396,15.324,0.449,0.807,0.005,0.204
2,0.186,0.318,13.761,19.317,0.729,0.820,0.427,0.643
3,0.169,0.100,18.647,24.916,0.783,0.895,0.616,0.857
4,0.167,0.091,19.155,25.960,0.794,0.903,0.649,0.890
5,0.150,0.083,20.160,26.354,0.847,0.908,0.712,0.891
6,0.148,0.086,20.405,26.774,0.859,0.915,0.724,0.900
7,0.147,0.086,20.586,26.875,0.866,0.918,0.743,0.901
8,0.147,0.082,20.699,26.967,0.873,0.921,0.753,0.903
9,0.147,0.072,20.723,27.985,0.875,0.930,0.755,0.918
10,0.146,0.070,20.826,28.304,0.878,0.933,0.759,0.924
11,0.146,0.065,20.861,28.696,0.879,0.937,0.758,0.929
12,0.146,0.065,20.896,28.730,0.880,0.939,0.762,0.929
13,0.146,0.061,20.991,29.154,0.883,0.943,0.779,0.937
14,0.109,0.050,23.789,30.176,0.914,0.948,0.844,0.948
15,0.108,0.047,23.904,30.470,0.916,0.950,0.851,0.951
16,0.108,0.043,23.940,30.719,0.917,0.951,0.853,0.953
17,0.108,0.041,23.996,30.952,0.918,0.953,0.855,0.950
18,0.107,0.037,24.052,31.465,0.919,0.957,0.856,0.953
19,0.107,0.037,24.081,31.478,0.920,0.957,0.858,0.953
20,0.107,0.036,24.130,31.533,0.921,0.958,0.861,0.954
