NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.264,0.153,13.687,19.174,0.459,0.784,0.021,0.194
2,0.246,0.153,16.596,19.358,0.635,0.774,0.280,0.206
3,0.165,0.156,17.900,19.612,0.663,0.772,0.428,0.242
4,0.171,0.160,19.950,20.396,0.696,0.772,0.526,0.353
5,0.168,0.171,20.395,22.519,0.725,0.801,0.560,0.545
6,0.157,0.160,21.035,23.556,0.760,0.829,0.617,0.618
7,0.156,0.128,21.202,23.915,0.762,0.830,0.634,0.634
8,0.153,0.118,21.643,24.584,0.776,0.843,0.668,0.676
9,0.134,0.117,22.531,24.762,0.795,0.846,0.707,0.696
10,0.133,0.094,22.716,25.493,0.802,0.857,0.720,0.730
11,0.133,0.091,22.807,25.755,0.804,0.862,0.729,0.740
12,0.131,0.082,23.087,26.135,0.812,0.868,0.735,0.759
13,0.127,0.082,23.339,26.189,0.820,0.870,0.747,0.760
14,0.126,0.081,23.388,26.283,0.822,0.873,0.753,0.765
15,0.126,0.081,23.429,26.310,0.823,0.874,0.757,0.765
16,0.123,0.080,23.634,26.380,0.828,0.877,0.764,0.769
17,0.123,0.078,23.701,26.453,0.830,0.879,0.766,0.772
18,0.123,0.075,23.794,26.630,0.833,0.882,0.777,0.780
19,0.122,0.071,23.883,26.913,0.835,0.886,0.786,0.791
20,0.122,0.068,23.998,27.047,0.840,0.888,0.783,0.797
