NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.124,0.212,15.941,21.695,0.492,0.816,0.308,0.026
2,0.088,0.121,21.608,24.297,0.681,0.852,0.721,0.350
3,0.084,0.070,23.039,27.173,0.748,0.894,0.790,0.604
4,0.065,0.066,24.960,27.976,0.811,0.907,0.861,0.619
5,0.059,0.052,25.520,29.428,0.820,0.923,0.869,0.715
6,0.055,0.052,26.365,29.465,0.864,0.923,0.875,0.718
7,0.050,0.052,26.730,29.539,0.872,0.924,0.890,0.720
8,0.048,0.051,27.007,29.593,0.885,0.925,0.894,0.724
9,0.048,0.048,27.064,29.855,0.886,0.930,0.893,0.725
10,0.045,0.048,27.309,29.876,0.888,0.931,0.896,0.728
11,0.039,0.043,27.694,30.424,0.895,0.936,0.906,0.763
12,0.036,0.039,27.893,31.070,0.897,0.941,0.908,0.793
13,0.034,0.038,28.085,31.118,0.900,0.942,0.914,0.794
14,0.033,0.039,28.157,31.117,0.900,0.943,0.915,0.785
15,0.033,0.038,28.191,31.193,0.901,0.944,0.916,0.799
16,0.032,0.037,28.241,31.526,0.902,0.946,0.917,0.815
17,0.027,0.035,29.988,31.959,0.936,0.948,0.929,0.835
18,0.026,0.034,30.443,32.217,0.939,0.949,0.953,0.845
19,0.026,0.030,30.502,32.780,0.940,0.954,0.952,0.858
20,0.024,0.029,30.634,33.107,0.941,0.955,0.955,0.870
