NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.244,0.217,11.655,15.217,0.301,0.709,0.088,0.034
2,0.151,0.111,18.708,22.305,0.673,0.820,0.581,0.734
3,0.151,0.086,19.683,25.402,0.708,0.878,0.707,0.811
4,0.145,0.081,20.113,26.001,0.739,0.888,0.730,0.838
5,0.145,0.082,20.271,26.128,0.747,0.890,0.730,0.845
6,0.143,0.075,20.585,26.284,0.766,0.895,0.765,0.861
7,0.097,0.071,24.427,26.423,0.862,0.901,0.823,0.867
8,0.067,0.071,25.777,26.445,0.889,0.902,0.863,0.867
9,0.062,0.070,26.507,26.557,0.900,0.905,0.890,0.871
10,0.061,0.070,26.767,26.573,0.902,0.905,0.898,0.872
11,0.060,0.058,26.954,27.366,0.906,0.915,0.901,0.888
12,0.057,0.048,27.376,28.617,0.911,0.924,0.903,0.915
13,0.055,0.047,27.647,28.719,0.914,0.925,0.905,0.916
14,0.055,0.046,27.791,28.771,0.915,0.926,0.906,0.915
15,0.054,0.046,27.829,28.833,0.915,0.927,0.908,0.916
16,0.053,0.041,28.108,29.420,0.918,0.929,0.909,0.926
17,0.049,0.038,28.449,29.941,0.922,0.933,0.914,0.935
18,0.049,0.038,28.583,30.054,0.923,0.935,0.917,0.937
19,0.049,0.037,28.660,30.083,0.924,0.936,0.919,0.939
20,0.048,0.037,28.824,30.142,0.925,0.937,0.919,0.940
