NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.176,0.225,12.774,19.433,0.595,0.863,0.242,0.039
2,0.145,0.135,16.732,25.487,0.682,0.882,0.527,0.675
3,0.121,0.103,17.499,27.118,0.780,0.899,0.691,0.741
4,0.078,0.083,24.743,28.652,0.886,0.927,0.797,0.805
5,0.104,0.067,26.092,29.959,0.863,0.942,0.910,0.857
6,0.104,0.051,26.373,32.031,0.865,0.946,0.939,0.901
7,0.099,0.051,26.843,32.109,0.873,0.947,0.951,0.907
8,0.068,0.051,28.408,32.159,0.901,0.948,0.963,0.909
9,0.055,0.041,28.711,32.773,0.914,0.955,0.963,0.923
10,0.053,0.038,29.620,33.040,0.926,0.956,0.995,0.930
11,0.050,0.038,29.854,33.049,0.929,0.957,0.991,0.932
12,0.049,0.038,29.957,33.108,0.929,0.958,0.991,0.931
13,0.048,0.029,30.111,34.218,0.931,0.966,0.991,0.951
14,0.041,0.022,31.812,35.154,0.941,0.973,0.977,0.961
15,0.040,0.022,32.017,35.443,0.943,0.974,0.974,0.961
16,0.039,0.020,32.250,35.670,0.945,0.975,0.981,0.964
17,0.039,0.019,32.281,36.040,0.945,0.976,0.982,0.966
18,0.039,0.018,32.320,36.089,0.946,0.976,0.982,0.967
19,0.039,0.018,32.350,36.088,0.946,0.976,0.982,0.968
20,0.037,0.018,32.397,36.109,0.948,0.976,0.981,0.968
