NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.255,0.233,14.930,19.060,0.312,0.711,0.015,0.013
2,0.202,0.281,18.867,19.720,0.659,0.735,0.448,0.053
3,0.167,0.159,20.174,21.982,0.720,0.790,0.525,0.275
4,0.149,0.126,21.889,24.049,0.800,0.847,0.674,0.495
5,0.149,0.122,22.741,24.141,0.817,0.852,0.709,0.501
6,0.147,0.122,23.057,24.178,0.831,0.854,0.725,0.508
7,0.132,0.119,23.271,24.220,0.837,0.856,0.731,0.512
8,0.127,0.100,23.810,25.464,0.850,0.877,0.756,0.632
9,0.125,0.099,23.911,25.492,0.853,0.879,0.762,0.629
10,0.124,0.098,24.057,25.630,0.858,0.886,0.775,0.653
11,0.123,0.097,24.090,25.660,0.859,0.889,0.778,0.656
12,0.088,0.097,25.586,25.666,0.892,0.889,0.822,0.654
13,0.087,0.094,25.606,25.746,0.892,0.891,0.823,0.656
14,0.086,0.091,25.657,25.853,0.894,0.896,0.825,0.662
15,0.086,0.080,25.667,26.239,0.894,0.902,0.826,0.692
16,0.085,0.079,25.812,26.379,0.897,0.902,0.833,0.698
17,0.081,0.078,26.251,26.391,0.904,0.902,0.848,0.699
18,0.079,0.079,26.427,26.404,0.907,0.903,0.854,0.699
19,0.077,0.076,26.713,26.595,0.912,0.905,0.864,0.710
20,0.077,0.076,26.780,26.608,0.913,0.906,0.865,0.711
