NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.170,0.208,13.779,17.145,0.398,0.736,0.564,0.150
2,0.127,0.160,17.826,19.380,0.599,0.749,0.741,0.386
3,0.107,0.121,19.604,21.967,0.677,0.807,0.791,0.626
4,0.104,0.113,20.732,22.397,0.714,0.810,0.841,0.662
5,0.102,0.112,21.048,23.042,0.725,0.824,0.851,0.713
6,0.100,0.113,21.311,23.115,0.743,0.822,0.857,0.712
7,0.079,0.112,22.539,23.365,0.775,0.826,0.886,0.723
8,0.078,0.114,22.680,23.579,0.779,0.835,0.889,0.738
9,0.064,0.113,23.195,23.612,0.790,0.838,0.901,0.740
10,0.063,0.115,23.315,23.677,0.791,0.842,0.902,0.745
11,0.063,0.108,23.372,24.028,0.795,0.846,0.904,0.765
12,0.062,0.108,23.445,24.036,0.800,0.846,0.907,0.766
13,0.061,0.105,23.566,24.723,0.804,0.858,0.910,0.792
14,0.059,0.105,23.618,24.745,0.805,0.859,0.910,0.793
15,0.055,0.105,25.017,24.866,0.831,0.864,0.928,0.799
16,0.054,0.103,25.103,24.908,0.832,0.865,0.928,0.801
17,0.051,0.103,25.633,24.913,0.840,0.866,0.930,0.802
18,0.050,0.076,25.830,26.086,0.843,0.870,0.934,0.835
19,0.049,0.076,26.021,26.109,0.846,0.870,0.935,0.835
20,0.049,0.074,26.072,26.366,0.846,0.874,0.935,0.844
