NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.327,0.315,9.050,13.742,0.316,0.590,0.001,0.001
2,0.297,0.275,11.795,14.062,0.493,0.614,0.156,0.011
3,0.228,0.283,13.737,14.797,0.559,0.624,0.276,0.102
4,0.208,0.201,14.135,15.891,0.572,0.651,0.307,0.190
5,0.147,0.198,17.906,16.847,0.693,0.686,0.583,0.296
6,0.133,0.204,18.979,17.641,0.726,0.689,0.654,0.379
7,0.142,0.206,19.602,17.752,0.767,0.690,0.689,0.399
8,0.139,0.186,20.041,19.448,0.778,0.723,0.709,0.537
9,0.137,0.179,20.256,19.732,0.788,0.745,0.717,0.556
10,0.137,0.179,20.375,19.744,0.791,0.744,0.722,0.555
11,0.134,0.183,20.699,20.011,0.801,0.744,0.742,0.578
12,0.133,0.183,20.774,20.042,0.803,0.745,0.746,0.582
13,0.133,0.184,21.092,20.231,0.812,0.754,0.756,0.598
14,0.132,0.185,21.229,20.283,0.818,0.760,0.760,0.602
15,0.130,0.184,21.346,20.326,0.821,0.765,0.765,0.606
16,0.129,0.178,21.416,20.771,0.823,0.773,0.769,0.635
17,0.128,0.173,21.679,21.301,0.830,0.792,0.780,0.673
18,0.127,0.173,21.715,21.302,0.831,0.793,0.782,0.673
19,0.126,0.171,21.852,21.350,0.834,0.794,0.788,0.677
20,0.125,0.171,21.982,21.356,0.838,0.794,0.795,0.678
