NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.223,0.236,12.483,17.162,0.320,0.668,0.072,0.016
2,0.215,0.264,15.269,17.721,0.587,0.660,0.336,0.035
3,0.215,0.257,17.253,18.029,0.637,0.658,0.459,0.070
4,0.181,0.193,18.586,18.668,0.713,0.688,0.571,0.127
5,0.146,0.198,18.989,19.584,0.730,0.711,0.591,0.231
6,0.143,0.186,19.478,20.409,0.749,0.741,0.627,0.336
7,0.131,0.184,19.714,21.437,0.757,0.760,0.647,0.456
8,0.128,0.183,20.182,21.497,0.773,0.762,0.663,0.459
9,0.121,0.143,20.835,22.881,0.781,0.796,0.694,0.574
10,0.113,0.142,21.189,23.013,0.790,0.802,0.723,0.578
11,0.113,0.142,21.247,23.133,0.791,0.809,0.726,0.588
12,0.101,0.131,21.563,23.251,0.799,0.815,0.744,0.594
13,0.099,0.118,21.676,23.598,0.803,0.821,0.749,0.618
14,0.098,0.112,21.855,23.867,0.808,0.826,0.761,0.638
15,0.097,0.094,21.891,24.732,0.809,0.841,0.764,0.697
16,0.095,0.094,22.374,24.815,0.816,0.844,0.787,0.697
17,0.092,0.093,22.895,24.859,0.831,0.845,0.807,0.702
18,0.089,0.093,23.120,24.949,0.836,0.849,0.812,0.705
19,0.088,0.089,23.157,25.289,0.837,0.859,0.813,0.726
20,0.085,0.089,23.286,25.328,0.840,0.860,0.818,0.729
