NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.156,0.239,14.291,18.846,0.422,0.763,0.195,0.048
2,0.181,0.186,16.032,20.255,0.519,0.757,0.411,0.128
3,0.180,0.164,17.026,21.684,0.577,0.778,0.532,0.282
4,0.158,0.137,19.258,22.138,0.607,0.797,0.672,0.320
5,0.157,0.149,19.774,23.391,0.610,0.799,0.688,0.452
6,0.156,0.149,20.149,23.442,0.641,0.801,0.710,0.459
7,0.156,0.134,20.298,24.415,0.648,0.811,0.721,0.545
8,0.153,0.095,20.832,25.531,0.681,0.831,0.757,0.627
9,0.098,0.091,22.252,25.719,0.713,0.836,0.792,0.641
10,0.094,0.091,22.493,25.732,0.724,0.837,0.802,0.642
11,0.093,0.087,22.923,25.849,0.744,0.840,0.814,0.652
12,0.079,0.080,23.117,26.165,0.752,0.845,0.823,0.672
13,0.078,0.079,23.293,26.273,0.759,0.848,0.829,0.682
14,0.078,0.079,23.395,26.280,0.762,0.849,0.833,0.679
15,0.074,0.075,23.706,27.096,0.773,0.861,0.848,0.720
16,0.070,0.075,23.881,27.134,0.780,0.862,0.853,0.726
17,0.068,0.073,24.013,27.359,0.783,0.861,0.856,0.735
18,0.068,0.073,24.057,27.441,0.785,0.862,0.858,0.739
19,0.067,0.072,24.148,27.453,0.790,0.863,0.861,0.739
20,0.067,0.071,24.202,27.576,0.791,0.866,0.863,0.744
