NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.269,0.250,13.597,18.222,0.291,0.753,0.002,0.007
2,0.277,0.134,18.107,22.998,0.604,0.872,0.426,0.512
3,0.279,0.128,18.688,23.623,0.657,0.873,0.487,0.523
4,0.161,0.117,22.407,23.969,0.818,0.877,0.738,0.573
5,0.128,0.108,23.874,24.788,0.866,0.894,0.835,0.651
6,0.123,0.086,24.565,26.514,0.871,0.917,0.812,0.754
7,0.114,0.082,25.494,26.702,0.885,0.919,0.794,0.755
8,0.112,0.071,25.661,27.335,0.888,0.930,0.811,0.780
9,0.110,0.068,25.883,27.741,0.893,0.937,0.818,0.799
10,0.110,0.055,25.976,28.773,0.894,0.946,0.820,0.834
11,0.109,0.054,26.129,28.798,0.899,0.946,0.830,0.835
12,0.109,0.053,26.177,28.818,0.900,0.946,0.834,0.834
13,0.086,0.048,27.442,29.762,0.926,0.953,0.880,0.866
14,0.060,0.048,28.407,29.767,0.938,0.954,0.914,0.871
15,0.056,0.044,28.819,30.156,0.944,0.957,0.919,0.886
16,0.052,0.043,29.125,30.183,0.948,0.957,0.925,0.887
17,0.052,0.043,29.211,30.203,0.949,0.957,0.928,0.885
18,0.052,0.043,29.233,30.225,0.949,0.958,0.929,0.886
19,0.051,0.043,29.300,30.229,0.950,0.958,0.932,0.886
20,0.047,0.043,29.747,30.251,0.954,0.958,0.934,0.886
