,L_PSNR,L_SSIM,PSNR,SSIM
0,14.8140044393,0.626343235409,19.433369036,0.862697625711
1,20.9065027639,0.700633025038,25.4873545804,0.881886879158
2,22.6127286038,0.754795912565,27.1175283499,0.898908525876
3,24.2477198721,0.83937625654,28.6515746163,0.927307554975
4,25.6878595074,0.883651671536,29.9586087455,0.942179074094
5,28.0082889773,0.889902020001,32.031445078,0.945648446163
6,28.0502030355,0.890387376285,32.109253658,0.947169848443
7,28.0619125683,0.890819968696,32.1585602373,0.948310096804
8,28.6718939139,0.904781427717,32.7730936212,0.954822989565
9,28.9801680083,0.907462591731,33.0404477852,0.955789337016
10,28.939891973,0.90772372115,33.0494773129,0.956897897011
11,28.9524810138,0.908662694938,33.1075146833,0.958159360146
12,30.0807465618,0.924835219022,34.2181009447,0.965746633116
13,30.9604741033,0.940899454727,35.1540972094,0.973116673524
14,31.2925635972,0.94267991322,35.4434204867,0.973710159688
15,31.5546224743,0.947284696477,35.6696710501,0.97524508744
16,31.9842955958,0.94854911631,36.0401758104,0.975704064909
17,32.0417231998,0.948915424426,36.0890279996,0.975805760145
18,32.0303632862,0.948900674144,36.0883342942,0.97590500429
19,32.0297879361,0.948895583328,36.1087085734,0.976190780535
