,L_PSNR,L_SSIM,PSNR,SSIM
0,16.4481969321,0.491518131087,18.8460557901,0.762590794382
1,16.5957077331,0.485666249244,20.2550157554,0.756511219454
2,18.2584185182,0.581314763769,21.6840042229,0.778028643725
3,18.2586910613,0.58134714745,22.1381429811,0.796677629006
4,19.5618592376,0.59486872266,23.3914023218,0.799396083298
5,19.5618592376,0.59486872266,23.4416270124,0.801049953021
6,20.6783771928,0.626963622869,24.4147234111,0.811475361225
7,22.1048450034,0.687823211807,25.5310266124,0.831450922537
8,22.2528551951,0.690346661822,25.7185081457,0.836465781466
9,22.2528551951,0.690346661822,25.7317407603,0.837406290548
10,22.4099800021,0.697510512484,25.8493141019,0.839753592926
11,22.843641681,0.713989506839,26.1648158043,0.845324628814
12,22.8513924507,0.714580498285,26.2733807556,0.847858148427
13,22.8495930683,0.714789399286,26.2796733963,0.848544268899
14,23.8835539741,0.746218947161,27.0958928767,0.860605508961
15,23.8959862607,0.746619503509,27.1338780666,0.862218350875
16,23.8959862607,0.746619503509,27.3587004672,0.860901493392
17,24.007727751,0.750168058618,27.4413820494,0.862131939683
18,24.0109421068,0.750306782977,27.4532503179,0.86266839697
19,24.0121835085,0.750446201543,27.576321904,0.865959022917
