NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.264,0.157,11.900,18.010,0.530,0.800,0.029,0.294
2,0.264,0.160,11.908,18.139,0.532,0.789,0.030,0.310
3,0.264,0.160,11.908,18.140,0.532,0.789,0.030,0.310
4,0.264,0.170,11.909,18.701,0.532,0.773,0.030,0.414
5,0.196,0.170,14.580,18.713,0.515,0.775,0.423,0.416
6,0.196,0.170,14.583,18.713,0.515,0.775,0.424,0.416
7,0.148,0.164,19.664,19.126,0.678,0.783,0.749,0.436
8,0.330,0.173,10.548,19.709,0.459,0.769,0.041,0.538
9,0.330,0.173,10.556,19.721,0.463,0.769,0.044,0.539
10,0.330,0.173,10.557,19.732,0.463,0.770,0.044,0.541
11,0.330,0.173,10.558,19.733,0.464,0.770,0.044,0.541
12,0.203,0.173,13.791,19.733,0.552,0.770,0.448,0.541
13,0.203,0.173,13.796,19.733,0.553,0.770,0.448,0.541
14,0.315,0.173,10.862,19.733,0.445,0.770,0.081,0.541
15,0.310,0.173,11.408,19.733,0.535,0.770,0.147,0.541
16,0.308,0.173,11.428,19.770,0.533,0.774,0.150,0.548
17,0.226,0.173,13.046,19.777,0.529,0.774,0.399,0.549
18,0.203,0.173,14.015,19.777,0.583,0.774,0.528,0.549
19,0.203,0.173,14.020,19.872,0.584,0.776,0.529,0.561
20,0.203,0.173,14.023,19.872,0.584,0.776,0.529,0.561
