NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.358,0.194,4.391,14.215,0.494,0.898,0.004,0.088
2,0.358,0.192,4.391,14.325,0.494,0.894,0.004,0.096
3,0.358,0.193,4.391,14.342,0.494,0.895,0.004,0.098
4,0.358,0.198,4.394,17.163,0.494,0.829,0.004,0.351
5,0.358,0.187,4.394,17.474,0.494,0.833,0.004,0.390
6,0.366,0.186,4.552,17.562,0.522,0.835,0.052,0.399
7,0.366,0.187,4.554,18.425,0.525,0.837,0.053,0.409
8,0.366,0.107,4.554,22.323,0.525,0.960,0.053,0.917
9,0.203,0.098,6.269,23.215,0.676,0.962,0.799,0.931
10,0.193,0.071,6.312,29.299,0.679,0.969,0.808,0.938
11,0.365,0.068,4.559,29.839,0.527,0.974,0.053,0.940
12,0.204,0.068,6.269,29.839,0.677,0.974,0.807,0.940
13,0.203,0.067,6.269,29.843,0.677,0.974,0.807,0.940
14,0.203,0.067,6.270,29.843,0.677,0.974,0.807,0.940
15,0.202,0.062,6.272,30.918,0.680,0.977,0.808,0.954
16,0.381,0.062,4.368,30.920,0.502,0.977,0.051,0.954
17,0.193,0.062,6.114,30.920,0.671,0.977,0.808,0.954
18,0.193,0.060,6.115,31.115,0.671,0.977,0.808,0.956
19,0.193,0.060,6.115,31.135,0.671,0.977,0.808,0.956
20,0.192,0.060,6.118,31.135,0.674,0.977,0.809,0.956
