,GMSD,PSNR,SSIM,VIF
0,0.153081214241,19.1735329959,0.783964067544,0.19449744694
1,0.15262852017,19.3576138037,0.774431944399,0.205966464583
2,0.156443226634,19.6118520352,0.772329158645,0.241684660572
3,0.159500806748,20.3962009247,0.772272867552,0.353499667421
4,0.170732339177,22.5188394327,0.801236611852,0.54506828066
5,0.159892159198,23.555644554,0.829092056289,0.617542902158
6,0.128448930584,23.9147358479,0.829656869895,0.633925018568
7,0.11790088518,24.5843955803,0.843486848386,0.675599122452
8,0.117366874769,24.7622055554,0.846455740584,0.695861390563
9,0.0940431654085,25.4927877652,0.857418437815,0.729707575885
10,0.0911548305322,25.7552611815,0.862297883095,0.739629085882
11,0.0822404536274,26.1349641413,0.868400721088,0.758565577992
12,0.081912375984,26.1886620966,0.87041326155,0.760107860909
13,0.0812104909285,26.2828012878,0.872586174524,0.76507624497
14,0.0808024682934,26.3103693075,0.873555958012,0.764921133219
15,0.0797000448863,26.3799104979,0.876799100048,0.768932779733
16,0.0777033486531,26.4526956266,0.879040298965,0.771552051791
17,0.0748280363156,26.6303751848,0.882406496434,0.779988859762
18,0.0705501598948,26.9126309592,0.886331689277,0.7913107347
19,0.0676531281146,27.0472591735,0.888093373747,0.796550402454
