NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.304,0.209,9.026,15.515,0.363,0.744,0.008,0.098
2,0.298,0.216,9.080,15.814,0.340,0.716,0.009,0.077
3,0.298,0.200,9.080,15.954,0.340,0.742,0.009,0.215
4,0.295,0.199,9.529,15.960,0.320,0.742,0.058,0.219
5,0.252,0.199,9.705,16.114,0.309,0.747,0.091,0.235
6,0.246,0.161,9.732,16.348,0.316,0.758,0.095,0.274
7,0.246,0.160,9.734,16.516,0.316,0.764,0.096,0.294
8,0.238,0.160,9.796,16.545,0.324,0.758,0.104,0.292
9,0.252,0.148,9.708,22.079,0.310,0.815,0.095,0.618
10,0.246,0.148,9.736,22.079,0.318,0.815,0.099,0.618
11,0.246,0.148,9.737,22.094,0.317,0.816,0.100,0.619
12,0.238,0.148,9.799,22.094,0.325,0.816,0.108,0.619
13,0.237,0.148,9.806,22.131,0.325,0.816,0.109,0.621
14,0.230,0.148,10.021,22.131,0.360,0.816,0.167,0.621
15,0.253,0.148,9.718,22.131,0.320,0.816,0.100,0.621
16,0.247,0.148,9.745,22.201,0.328,0.820,0.105,0.627
17,0.246,0.148,9.746,22.201,0.327,0.820,0.105,0.627
18,0.238,0.147,9.809,22.268,0.335,0.821,0.114,0.633
19,0.237,0.147,9.816,22.268,0.335,0.821,0.115,0.633
20,0.231,0.147,10.031,22.268,0.368,0.821,0.179,0.633
