NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.173,0.236,9.255,18.373,0.363,0.780,0.160,0.012
2,0.175,0.245,9.284,19.348,0.353,0.767,0.161,0.098
3,0.175,0.133,9.285,20.027,0.353,0.785,0.161,0.306
4,0.175,0.132,9.289,20.106,0.351,0.786,0.161,0.307
5,0.177,0.128,9.460,20.248,0.369,0.788,0.237,0.335
6,0.175,0.114,9.290,23.247,0.351,0.816,0.161,0.497
7,0.176,0.114,9.339,23.259,0.335,0.817,0.195,0.498
8,0.177,0.106,9.468,24.291,0.382,0.834,0.247,0.551
9,0.177,0.106,9.468,24.291,0.382,0.834,0.247,0.551
10,0.177,0.106,9.472,24.315,0.383,0.835,0.249,0.550
11,0.178,0.106,9.496,24.315,0.378,0.835,0.250,0.550
12,0.165,0.106,9.817,24.315,0.532,0.835,0.445,0.550
13,0.193,0.104,6.309,24.374,0.031,0.836,0.050,0.554
14,0.182,0.104,6.449,24.374,0.038,0.836,0.089,0.554
15,0.170,0.104,6.707,24.374,0.135,0.836,0.184,0.554
16,0.170,0.104,6.708,24.374,0.135,0.836,0.184,0.554
17,0.170,0.104,6.713,24.374,0.137,0.836,0.186,0.554
18,0.172,0.104,6.745,24.374,0.134,0.836,0.187,0.554
19,0.172,0.104,6.760,24.374,0.141,0.836,0.199,0.554
20,0.157,0.068,7.112,26.921,0.310,0.891,0.397,0.718
