NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.269,0.128,7.928,19.284,0.508,0.886,0.021,0.261
2,0.269,0.132,7.929,19.361,0.508,0.879,0.021,0.257
3,0.267,0.130,7.930,19.438,0.506,0.881,0.021,0.263
4,0.263,0.149,7.950,20.446,0.496,0.851,0.024,0.422
5,0.253,0.147,8.050,20.574,0.485,0.845,0.042,0.424
6,0.228,0.136,8.124,22.161,0.471,0.873,0.097,0.539
7,0.228,0.148,8.124,22.406,0.471,0.873,0.097,0.541
8,0.203,0.141,8.396,23.938,0.451,0.898,0.172,0.606
9,0.283,0.141,5.960,23.938,0.306,0.898,0.020,0.606
10,0.283,0.141,5.962,23.952,0.305,0.899,0.020,0.608
11,0.282,0.141,5.964,23.952,0.305,0.899,0.020,0.608
12,0.283,0.141,5.990,23.952,0.304,0.899,0.029,0.608
13,0.277,0.120,6.105,24.429,0.303,0.904,0.053,0.640
14,0.282,0.120,6.008,24.496,0.310,0.905,0.049,0.645
15,0.278,0.120,6.108,24.496,0.307,0.905,0.069,0.645
16,0.278,0.120,6.110,24.496,0.307,0.905,0.070,0.645
17,0.278,0.120,6.110,24.496,0.307,0.905,0.070,0.645
18,0.277,0.120,6.112,24.496,0.307,0.905,0.072,0.645
19,0.273,0.120,6.134,24.496,0.310,0.905,0.101,0.645
20,0.264,0.120,6.223,24.496,0.315,0.905,0.150,0.645
