NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.273,0.214,12.253,17.214,0.464,0.808,0.009,0.011
2,0.259,0.200,12.350,18.357,0.477,0.775,0.025,0.032
3,0.258,0.164,12.350,21.070,0.477,0.810,0.025,0.237
4,0.255,0.161,12.393,21.142,0.490,0.809,0.038,0.253
5,0.255,0.133,12.393,22.409,0.490,0.826,0.038,0.364
6,0.244,0.132,12.465,22.420,0.485,0.826,0.042,0.365
7,0.236,0.128,12.566,22.938,0.484,0.835,0.053,0.411
8,0.235,0.127,12.586,22.979,0.485,0.836,0.055,0.414
9,0.235,0.127,12.587,23.105,0.485,0.838,0.055,0.426
10,0.235,0.117,12.587,23.562,0.485,0.850,0.055,0.474
11,0.215,0.112,14.935,24.004,0.615,0.861,0.409,0.523
12,0.213,0.109,15.073,26.801,0.642,0.902,0.454,0.748
13,0.213,0.109,15.077,26.802,0.642,0.902,0.456,0.748
14,0.208,0.109,21.290,26.802,0.726,0.902,0.579,0.748
15,0.206,0.109,21.785,26.802,0.741,0.902,0.603,0.748
16,0.206,0.109,21.866,26.802,0.744,0.902,0.607,0.748
17,0.188,0.109,10.679,26.802,0.464,0.902,0.171,0.748
18,0.179,0.109,13.569,26.822,0.698,0.902,0.577,0.748
19,0.172,0.109,13.735,26.822,0.731,0.902,0.632,0.748
20,0.172,0.109,13.739,26.822,0.732,0.902,0.634,0.748
