NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.307,0.178,6.731,17.570,0.451,0.840,0.007,0.475
2,0.302,0.177,6.739,18.420,0.440,0.857,0.007,0.535
3,0.302,0.177,6.739,18.473,0.439,0.856,0.008,0.539
4,0.299,0.181,6.742,19.156,0.433,0.826,0.008,0.525
5,0.297,0.179,6.793,19.609,0.432,0.849,0.016,0.581
6,0.294,0.179,6.851,19.618,0.429,0.848,0.032,0.582
7,0.292,0.159,6.855,22.466,0.426,0.888,0.032,0.614
8,0.301,0.107,6.740,23.565,0.439,0.866,0.008,0.789
9,0.298,0.105,6.743,23.665,0.432,0.872,0.008,0.793
10,0.297,0.110,6.795,24.967,0.432,0.897,0.017,0.811
11,0.297,0.103,6.783,26.351,0.431,0.917,0.015,0.845
12,0.298,0.103,6.797,26.354,0.433,0.917,0.018,0.845
13,0.297,0.103,6.797,26.354,0.433,0.917,0.018,0.845
14,0.294,0.102,6.854,26.363,0.430,0.917,0.034,0.846
15,0.293,0.102,6.858,26.363,0.427,0.917,0.034,0.846
16,0.293,0.102,6.859,26.363,0.427,0.917,0.034,0.846
17,0.289,0.100,6.862,26.781,0.425,0.919,0.034,0.859
18,0.293,0.100,6.861,26.781,0.428,0.919,0.038,0.859
19,0.293,0.096,6.861,26.922,0.428,0.919,0.038,0.865
20,0.289,0.093,6.864,27.139,0.425,0.920,0.038,0.871
