NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.310,0.178,8.124,15.906,0.298,0.702,0.001,0.105
2,0.323,0.179,8.150,16.504,0.308,0.707,0.001,0.124
3,0.341,0.179,8.198,16.532,0.321,0.708,0.004,0.126
4,0.324,0.222,8.151,16.965,0.309,0.712,0.002,0.254
5,0.324,0.214,8.152,17.624,0.309,0.740,0.002,0.276
6,0.342,0.226,8.200,14.736,0.323,0.702,0.004,0.055
7,0.348,0.212,8.236,17.522,0.343,0.738,0.007,0.281
8,0.349,0.211,8.238,17.726,0.344,0.745,0.007,0.290
9,0.348,0.206,8.248,16.432,0.339,0.741,0.007,0.268
10,0.349,0.122,8.237,22.194,0.346,0.797,0.007,0.663
11,0.349,0.115,8.240,22.823,0.347,0.826,0.007,0.677
12,0.349,0.113,8.250,23.161,0.342,0.839,0.008,0.690
13,0.349,0.113,8.251,23.161,0.342,0.839,0.008,0.690
14,0.349,0.113,8.251,23.161,0.342,0.839,0.008,0.690
15,0.349,0.107,8.251,23.499,0.342,0.847,0.008,0.709
16,0.226,0.107,15.179,23.500,0.516,0.847,0.580,0.709
17,0.371,0.107,6.152,23.500,0.178,0.847,0.011,0.709
18,0.371,0.107,6.155,23.500,0.180,0.847,0.012,0.709
19,0.369,0.102,6.167,23.872,0.174,0.857,0.012,0.724
20,0.369,0.102,6.170,23.873,0.174,0.857,0.012,0.724
