NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.245,0.195,8.701,15.175,0.252,0.620,0.012,0.041
2,0.266,0.195,8.828,15.734,0.261,0.636,0.017,0.069
3,0.269,0.190,8.848,17.273,0.261,0.648,0.017,0.179
4,0.283,0.195,9.040,15.890,0.300,0.648,0.031,0.088
5,0.293,0.189,9.334,17.497,0.303,0.659,0.100,0.203
6,0.280,0.185,8.977,17.845,0.284,0.678,0.025,0.214
7,0.283,0.184,9.033,18.141,0.300,0.703,0.032,0.241
8,0.283,0.184,9.037,18.141,0.301,0.703,0.032,0.241
9,0.280,0.198,8.980,15.283,0.285,0.631,0.025,0.164
10,0.283,0.176,9.036,18.248,0.301,0.680,0.033,0.309
11,0.283,0.175,9.040,18.596,0.302,0.693,0.033,0.317
12,0.284,0.184,9.049,17.208,0.305,0.657,0.034,0.304
13,0.293,0.141,9.344,19.987,0.309,0.725,0.103,0.498
14,0.281,0.138,8.992,20.518,0.290,0.742,0.029,0.508
15,0.284,0.134,9.048,21.332,0.305,0.771,0.037,0.549
16,0.284,0.134,9.052,21.332,0.306,0.771,0.038,0.549
17,0.285,0.134,9.061,21.332,0.309,0.772,0.039,0.549
18,0.294,0.134,9.357,21.333,0.313,0.772,0.108,0.549
19,0.294,0.134,9.357,21.333,0.313,0.772,0.108,0.549
20,0.294,0.134,9.381,21.333,0.312,0.772,0.109,0.549
