NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.172,0.211,17.883,22.859,0.696,0.884,0.213,0.023
2,0.172,0.211,17.910,22.869,0.693,0.884,0.214,0.023
3,0.172,0.211,17.911,22.889,0.693,0.883,0.215,0.025
4,0.167,0.211,18.040,24.678,0.679,0.884,0.221,0.075
5,0.167,0.158,18.145,26.094,0.682,0.882,0.228,0.334
6,0.159,0.149,18.233,26.548,0.672,0.888,0.244,0.376
7,0.159,0.149,18.235,26.641,0.672,0.889,0.244,0.379
8,0.159,0.148,18.256,26.648,0.670,0.889,0.251,0.379
9,0.158,0.148,18.271,26.649,0.671,0.889,0.260,0.379
10,0.138,0.148,19.145,26.653,0.689,0.889,0.368,0.380
11,0.137,0.148,19.155,26.656,0.690,0.889,0.371,0.382
12,0.122,0.148,24.304,26.659,0.818,0.889,0.553,0.382
13,0.174,0.148,12.461,26.659,0.407,0.889,0.336,0.382
14,0.173,0.148,12.489,26.659,0.412,0.889,0.345,0.382
15,0.173,0.142,14.303,26.753,0.590,0.890,0.474,0.390
16,0.172,0.142,14.314,26.753,0.593,0.890,0.479,0.390
17,0.099,0.142,25.997,26.753,0.838,0.890,0.681,0.390
18,0.099,0.139,26.009,27.471,0.839,0.893,0.682,0.474
19,0.098,0.139,26.450,27.471,0.846,0.893,0.690,0.474
20,0.098,0.139,26.557,27.471,0.848,0.893,0.693,0.474
