NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.285,0.235,7.585,16.374,0.443,0.857,0.010,0.028
2,0.281,0.253,7.729,16.857,0.442,0.853,0.039,0.034
3,0.280,0.252,7.729,16.962,0.442,0.857,0.039,0.046
4,0.280,0.191,8.001,18.310,0.472,0.853,0.098,0.524
5,0.280,0.190,8.001,18.313,0.472,0.853,0.098,0.527
6,0.260,0.170,8.017,23.793,0.475,0.902,0.100,0.720
7,0.260,0.170,8.018,24.231,0.475,0.908,0.101,0.722
8,0.258,0.170,8.020,24.248,0.475,0.909,0.101,0.722
9,0.245,0.170,8.038,24.283,0.482,0.909,0.106,0.724
10,0.188,0.121,6.522,25.370,0.397,0.918,0.133,0.771
11,0.188,0.121,6.522,25.370,0.397,0.918,0.133,0.771
12,0.173,0.121,6.546,25.370,0.404,0.918,0.141,0.771
13,0.173,0.094,6.548,27.798,0.404,0.940,0.142,0.863
14,0.172,0.094,6.550,27.802,0.405,0.940,0.143,0.863
15,0.164,0.094,6.572,27.804,0.413,0.940,0.154,0.863
16,0.163,0.094,6.578,27.804,0.415,0.940,0.159,0.863
17,0.204,0.093,7.156,27.811,0.458,0.940,0.255,0.863
18,0.205,0.093,7.171,27.819,0.462,0.941,0.256,0.863
19,0.208,0.094,7.180,27.821,0.462,0.941,0.256,0.863
20,0.208,0.093,7.183,27.846,0.462,0.941,0.256,0.864
