NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.169,0.222,10.558,21.694,0.407,0.816,0.096,0.029
2,0.169,0.221,10.559,21.707,0.408,0.816,0.096,0.029
3,0.169,0.157,10.559,23.778,0.408,0.858,0.096,0.247
4,0.169,0.140,10.559,24.344,0.408,0.857,0.096,0.291
5,0.169,0.140,10.592,24.351,0.376,0.857,0.100,0.292
6,0.180,0.140,10.871,24.352,0.230,0.857,0.121,0.292
7,0.180,0.140,10.872,24.352,0.231,0.857,0.121,0.292
8,0.180,0.140,10.872,24.352,0.231,0.857,0.121,0.292
9,0.137,0.140,16.395,24.352,0.494,0.857,0.613,0.292
10,0.071,0.139,24.723,24.528,0.822,0.864,0.847,0.318
11,0.194,0.139,7.537,24.528,0.207,0.864,0.039,0.318
12,0.200,0.139,7.595,24.528,0.169,0.864,0.039,0.318
13,0.213,0.139,7.982,24.528,0.085,0.864,0.057,0.318
14,0.213,0.078,7.984,27.810,0.085,0.906,0.057,0.621
15,0.213,0.078,7.984,27.829,0.085,0.907,0.057,0.620
16,0.213,0.078,7.984,27.830,0.085,0.907,0.057,0.620
17,0.198,0.078,9.330,27.830,0.095,0.907,0.174,0.620
18,0.152,0.078,14.412,27.830,0.525,0.907,0.631,0.620
19,0.148,0.078,14.525,27.830,0.547,0.907,0.649,0.620
20,0.067,0.078,24.562,27.830,0.869,0.907,0.890,0.620
