NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.165,0.286,15.191,17.832,0.515,0.788,0.220,0.001
2,0.165,0.244,15.674,20.581,0.507,0.784,0.298,0.384
3,0.167,0.244,15.763,20.595,0.496,0.784,0.301,0.385
4,0.153,0.234,16.871,20.623,0.643,0.781,0.455,0.384
5,0.164,0.180,15.834,21.337,0.506,0.788,0.317,0.405
6,0.153,0.163,16.849,21.770,0.637,0.797,0.453,0.451
7,0.165,0.122,15.882,24.239,0.508,0.849,0.326,0.469
8,0.165,0.118,15.882,24.651,0.508,0.859,0.326,0.506
9,0.154,0.118,16.911,24.651,0.640,0.859,0.465,0.506
10,0.153,0.116,16.953,27.000,0.646,0.890,0.473,0.693
11,0.153,0.116,16.956,27.000,0.646,0.890,0.474,0.693
12,0.152,0.116,17.023,27.000,0.647,0.890,0.478,0.693
13,0.152,0.114,17.023,27.474,0.647,0.897,0.478,0.735
14,0.155,0.114,17.437,27.475,0.639,0.897,0.484,0.735
15,0.162,0.114,14.337,27.475,0.444,0.897,0.365,0.735
16,0.138,0.111,16.049,27.671,0.665,0.898,0.571,0.745
17,0.136,0.110,16.110,27.721,0.674,0.899,0.583,0.748
18,0.136,0.110,16.114,27.721,0.674,0.899,0.583,0.748
19,0.135,0.110,16.211,27.721,0.676,0.899,0.589,0.748
20,0.135,0.110,16.212,27.722,0.676,0.899,0.589,0.748
