NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.233,0.246,9.397,15.575,0.088,0.644,0.000,0.001
2,0.253,0.275,9.408,16.051,0.095,0.670,0.000,0.014
3,0.280,0.274,9.430,16.090,0.103,0.675,0.000,0.018
4,0.300,0.259,9.456,16.860,0.118,0.713,0.001,0.053
5,0.300,0.194,9.456,17.278,0.119,0.742,0.001,0.196
6,0.300,0.141,9.457,20.329,0.118,0.838,0.001,0.415
7,0.313,0.140,9.495,20.416,0.119,0.848,0.001,0.432
8,0.314,0.129,9.500,20.822,0.122,0.863,0.001,0.460
9,0.314,0.129,9.500,20.832,0.122,0.862,0.001,0.460
10,0.328,0.129,9.674,20.832,0.133,0.862,0.004,0.460
11,0.329,0.129,9.794,21.071,0.142,0.864,0.008,0.478
12,0.330,0.129,9.803,21.078,0.143,0.864,0.008,0.478
13,0.269,0.129,10.687,21.078,0.394,0.864,0.086,0.478
14,0.268,0.129,10.704,21.078,0.398,0.864,0.088,0.478
15,0.266,0.129,10.757,21.215,0.411,0.866,0.097,0.488
16,0.265,0.129,10.796,21.215,0.422,0.866,0.104,0.488
17,0.255,0.121,11.295,21.564,0.486,0.877,0.151,0.522
18,0.255,0.121,11.305,21.564,0.488,0.877,0.152,0.522
19,0.241,0.101,12.272,22.877,0.609,0.902,0.285,0.629
20,0.218,0.086,9.606,23.571,0.398,0.915,0.137,0.680
