NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.175,0.181,9.618,15.454,0.340,0.728,0.183,0.163
2,0.175,0.182,9.618,15.472,0.339,0.728,0.183,0.166
3,0.181,0.160,9.816,19.528,0.284,0.760,0.227,0.446
4,0.125,0.187,17.414,15.571,0.599,0.696,0.781,0.173
5,0.124,0.182,17.459,16.884,0.601,0.726,0.782,0.285
6,0.124,0.138,17.480,20.651,0.601,0.794,0.783,0.556
7,0.124,0.189,17.558,15.130,0.604,0.663,0.784,0.267
8,0.112,0.174,19.465,16.861,0.651,0.714,0.808,0.396
9,0.112,0.108,19.469,22.874,0.651,0.842,0.808,0.718
10,0.123,0.108,17.529,22.874,0.607,0.842,0.790,0.718
11,0.123,0.108,17.551,22.874,0.607,0.842,0.790,0.718
12,0.123,0.105,17.631,23.080,0.610,0.842,0.791,0.728
13,0.112,0.105,17.233,23.081,0.639,0.842,0.816,0.728
14,0.111,0.105,17.263,23.081,0.639,0.842,0.817,0.728
15,0.111,0.105,17.379,23.081,0.643,0.842,0.818,0.728
16,0.086,0.105,20.467,23.081,0.694,0.842,0.852,0.728
17,0.086,0.105,20.474,23.081,0.694,0.842,0.852,0.728
18,0.086,0.105,20.474,23.081,0.694,0.842,0.852,0.728
19,0.086,0.105,20.474,23.081,0.694,0.842,0.852,0.728
20,0.102,0.069,18.904,26.867,0.760,0.889,0.898,0.865
