NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.261,0.203,8.644,16.500,0.521,0.864,0.008,0.028
2,0.253,0.251,8.654,16.883,0.517,0.824,0.008,0.013
3,0.252,0.248,8.667,16.919,0.517,0.822,0.014,0.019
4,0.251,0.229,8.833,14.643,0.475,0.752,0.021,0.338
5,0.251,0.219,8.833,15.093,0.475,0.769,0.021,0.379
6,0.246,0.142,8.848,15.708,0.474,0.776,0.025,0.512
7,0.245,0.142,8.853,15.709,0.475,0.776,0.026,0.512
8,0.244,0.140,8.864,17.664,0.472,0.780,0.026,0.510
9,0.236,0.094,8.994,24.368,0.484,0.900,0.074,0.697
10,0.236,0.093,8.995,24.403,0.484,0.901,0.074,0.700
11,0.236,0.093,8.996,24.403,0.484,0.901,0.074,0.700
12,0.207,0.093,7.404,24.403,0.388,0.901,0.093,0.700
13,0.202,0.091,7.424,24.513,0.412,0.904,0.103,0.711
14,0.207,0.086,7.404,24.790,0.388,0.909,0.093,0.732
15,0.207,0.076,7.404,25.759,0.388,0.913,0.093,0.773
16,0.202,0.076,7.424,25.759,0.413,0.913,0.103,0.773
17,0.202,0.070,7.430,28.959,0.416,0.925,0.104,0.868
18,0.200,0.070,7.440,28.959,0.414,0.925,0.106,0.868
19,0.189,0.070,7.565,28.959,0.432,0.925,0.161,0.868
20,0.189,0.070,7.567,28.975,0.432,0.925,0.162,0.868
